"site","sampling_unit_new","Riqueza","Shannon","Simpson","Abundancia"
"toledo","toledo_forest_2021_control_T10_1",1,1,1,1
"toledo","toledo_forest_2021_control_T10_2",8,5.66349281169108,4.34603174603175,37
"toledo","toledo_forest_2021_control_T10_3",11,8.14462934644646,6.80566801619433,41
"toledo","toledo_forest_2021_control_T6_1",2,1.81896851165317,1.68965517241379,7
"toledo","toledo_forest_2021_control_T6_2",2,1.88988157484231,1.8,3
"toledo","toledo_forest_2021_control_T6_3",1,1,1,7
"toledo","toledo_forest_2021_control_T7_1",4,3.60806871795753,3.32183908045977,17
"toledo","toledo_forest_2021_control_T7_2",15,10.3521589040312,8.06451612903226,50
"toledo","toledo_forest_2021_control_T7_3",5,4.41318919050333,3.96703296703297,19
"toledo","toledo_forest_2021_control_T8_1",10,6.86484248511227,5.17927170868347,43
"toledo","toledo_forest_2021_control_T8_2",14,10.7590153371119,9.05797101449275,50
"toledo","toledo_forest_2021_control_T8_3",10,5.65203803604723,4.26498422712934,52
"toledo","toledo_forest_2021_control_T9_1",7,2.4732338055106,1.71489817792069,80
"toledo","toledo_forest_2021_control_T9_2",12,4.76190142329301,2.84765625,54
"toledo","toledo_forest_2021_control_T9_3",10,8.37423451829348,7.14285714285714,20
"toledo","toledo_forest_2021_high_T11_1",9,4.31963263255405,3.13913043478261,38
"toledo","toledo_forest_2021_high_T11_2",15,10.875587780496,8.36585365853658,49
"toledo","toledo_forest_2021_high_T11_3",7,4.42614856462856,3.45497630331754,27
"toledo","toledo_forest_2021_high_T12_1",7,4.26654778971566,2.8,14
"toledo","toledo_forest_2021_high_T12_2",2,1.5691925832142,1.38461538461538,6
"toledo","toledo_forest_2021_high_T12_3",2,1.38414548846169,1.21951219512195,50
"toledo","toledo_forest_2021_high_T13_1",1,1,1,1
"toledo","toledo_forest_2021_high_T13_2",4,3.28365002793299,2.76056338028169,28
"toledo","toledo_forest_2021_high_T13_3",3,2.87174588749259,2.77777777777778,5
"toledo","toledo_forest_2021_high_T14_1",1,1,1,2
"toledo","toledo_forest_2021_high_T14_2",4,3.789291416276,3.57142857142857,5
"toledo","toledo_forest_2021_high_T14_3",3,3,3,3
"toledo","toledo_forest_2021_high_T15_1",12,3.52897965443072,2.00484913793103,122
"toledo","toledo_forest_2021_high_T15_2",5,2.85955287899081,2.07692307692308,18
"toledo","toledo_forest_2021_high_T15_3",8,6.10474492322215,4.97633136094675,29
"toledo","toledo_forest_2021_hyper_T16_1",1,1,1,1
"toledo","toledo_forest_2021_hyper_T16_2",2,1.5691925832142,1.38461538461538,6
"toledo","toledo_forest_2021_hyper_T16_3",2,1.81896851165317,1.68965517241379,7
"toledo","toledo_forest_2021_hyper_T17_1",4,2.52989492296576,1.94226327944573,29
"toledo","toledo_forest_2021_hyper_T17_2",9,5.39340483966926,3.5724907063197,31
"toledo","toledo_forest_2021_hyper_T17_3",10,6.35313202949656,4.75545851528384,33
"toledo","toledo_forest_2021_hyper_T19_1",3,1.98792628462815,1.60952380952381,13
"toledo","toledo_forest_2021_hyper_T19_2",1,1,1,5
"toledo","toledo_forest_2021_hyper_T19_3",2,1.96893818380527,1.93959731543624,17
"toledo","toledo_forest_2021_hyper_T20_1",1,1,1,2
"toledo","toledo_forest_2021_hyper_T20_2",1,1,1,3
"toledo","toledo_forest_2021_hyper_T20_3",3,2.74945927399721,2.57142857142857,6
"toledo","toledo_forest_2021_hyper_T66_1",1,1,1,2
"toledo","toledo_forest_2021_hyper_T66_2",2,1.81896851165317,1.68965517241379,7
"toledo","toledo_forest_2021_hyper_T66_3",5,4.33939062525723,3.78947368421053,12
"toledo","toledo_forest_2022_control_T10_1",5,3.21931238010102,2.39118065433855,41
"toledo","toledo_forest_2022_control_T10_2",8,5.06835767036596,3.74566473988439,36
"toledo","toledo_forest_2022_control_T10_3",11,6.4577316194607,4.82352941176471,82
"toledo","toledo_forest_2022_control_T6_1",4,3.34669632494723,2.89855072463768,20
"toledo","toledo_forest_2022_control_T6_2",5,3.58030814149673,3.025,22
"toledo","toledo_forest_2022_control_T6_3",5,4.13826368152481,3.61271676300578,25
"toledo","toledo_forest_2022_control_T7_1",11,7.70983486307248,6.06859205776173,41
"toledo","toledo_forest_2022_control_T7_2",8,4.42594102302164,3.35195530726257,60
"toledo","toledo_forest_2022_control_T7_3",7,5.43525669688454,4.47239263803681,27
"toledo","toledo_forest_2022_control_T8_1",11,6.60172322343375,4.70804597701149,64
"toledo","toledo_forest_2022_control_T8_2",11,5.39903531891027,3.32411067193676,116
"toledo","toledo_forest_2022_control_T8_3",16,13.3122294460067,11.2133333333333,58
"toledo","toledo_forest_2022_control_T9_1",7,5.61565976845781,4.56756756756757,39
"toledo","toledo_forest_2022_control_T9_2",14,10.3879005915093,7.7197549770291,71
"toledo","toledo_forest_2022_control_T9_3",13,8.22547103314926,5.35047619047619,53
"toledo","toledo_forest_2022_high_T11_1",15,12.2666075577496,10.5361596009975,65
"toledo","toledo_forest_2022_high_T11_2",17,11.9737002702517,9.13207547169811,88
"toledo","toledo_forest_2022_high_T11_3",14,11.2908608519852,9.8,42
"toledo","toledo_forest_2022_high_T12_1",6,5.12518467223022,4.45679012345679,19
"toledo","toledo_forest_2022_high_T12_2",2,1.75476535060332,1.6,4
"toledo","toledo_forest_2022_high_T12_3",6,5.11809846176617,4.54639175257732,21
"toledo","toledo_forest_2022_high_T13_1",8,6.96638268523111,6.23076923076923,27
"toledo","toledo_forest_2022_high_T13_2",7,5.18814104268939,4.23348017621145,31
"toledo","toledo_forest_2022_high_T13_3",12,8.38142579880717,6.36842105263158,44
"toledo","toledo_forest_2022_high_T14_1",5,4.34115281760506,3.90322580645161,11
"toledo","toledo_forest_2022_high_T15_1",13,6.40580925924626,3.85744794447411,85
"toledo","toledo_forest_2022_high_T15_2",7,5.85477152209661,5.04166666666667,22
"toledo","toledo_forest_2022_high_T15_3",10,6.52246970297094,4.70897832817337,39
"toledo","toledo_forest_2022_hyper_T16_1",2,1.64938488846612,1.47058823529412,5
"toledo","toledo_forest_2022_hyper_T16_2",2,1.5691925832142,1.38461538461538,6
"toledo","toledo_forest_2022_hyper_T16_3",2,1.5691925832142,1.38461538461538,6
"toledo","toledo_forest_2022_hyper_T17_1",9,8.07280995511898,7.41025641025641,17
"toledo","toledo_forest_2022_hyper_T17_2",5,4.39227984198708,4.05,18
"toledo","toledo_forest_2022_hyper_T17_3",5,3.89322047476173,3.125,10
"toledo","toledo_forest_2022_hyper_T19_1",1,1,1,1
"toledo","toledo_forest_2022_hyper_T19_2",4,2.76112394331948,2.39072847682119,19
"toledo","toledo_forest_2022_hyper_T19_3",2,1.45756926498109,1.28,8
"toledo","toledo_forest_2022_hyper_T20_1",2,1.88988157484231,1.8,3
"toledo","toledo_forest_2022_hyper_T20_2",4,3.17003282492367,2.57894736842105,7
"toledo","toledo_forest_2022_hyper_T20_3",7,6.26120069029542,5.55555555555555,10
"toledo","toledo_forest_2022_hyper_T66_1",1,1,1,1
"toledo","toledo_forest_2022_hyper_T66_2",1,1,1,3
"toledo","toledo_forest_2022_hyper_T66_3",1,1,1,2
"toledo","toledo_scrub_2021_control_T51_1",1,1,1,1
"toledo","toledo_scrub_2021_control_T51_2",10,6.86583850936673,5.5944055944056,40
"toledo","toledo_scrub_2021_control_T51_3",5,5,5,5
"toledo","toledo_scrub_2021_control_T52_1",1,1,1,1
