"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code","sampling_unit_new"
"valencia","scrub","control_high",13,20,2022,NA,"soil","apparent_density",NA,0.871912401324166,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/13/20"
"valencia","scrub","control_high",16,10,2022,NA,"soil","apparent_density",NA,0.889228418640183,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/16/10"
"valencia","scrub","control_high",16,20,2022,NA,"soil","apparent_density",NA,0.896358543417367,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/16/20"
"valencia","scrub","control_high",16,0,2022,NA,"soil","apparent_density",NA,0.944232238349885,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/16/0"
"valencia","scrub","control_high",13,0,2022,NA,"soil","apparent_density",NA,0.992105933282404,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/13/0"
"valencia","scrub","control_high",14,0,2022,NA,"soil","apparent_density",NA,1.03183091418386,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/14/0"
"valencia","scrub","control_high",15,20,2022,NA,"soil","apparent_density",NA,1.12757830404889,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/15/20"
"valencia","scrub","control_high",14,10,2022,NA,"soil","apparent_density",NA,1.15202444614209,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/14/10"
"valencia","scrub","control_high",13,10,2022,NA,"soil","apparent_density",NA,1.14693149987268,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/13/10"
"valencia","scrub","control_high",15,10,2022,NA,"soil","apparent_density",NA,1.15711739241151,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/15/10"
"valencia","scrub","control_high",14,20,2022,NA,"soil","apparent_density",NA,1.231474407945,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/14/20"
"valencia","scrub","control_high",15,0,2022,NA,"soil","apparent_density",NA,1.32722179781003,"AD(g/cm3)",NA,NA,"valencia/scrub/control_high/15/0"
"valencia","scrub","control_hyper",5,10,2022,NA,"soil","apparent_density",NA,0.977845683728037,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/5/10"
"valencia","scrub","control_hyper",6,0,2022,NA,"soil","apparent_density",NA,0.882098293863,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/6/0"
"valencia","scrub","control_hyper",6,20,2022,NA,"soil","apparent_density",NA,0.977845683728037,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/6/20"
"valencia","scrub","control_hyper",6,10,2022,NA,"soil","apparent_density",NA,0.976827094474153,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/6/10"
"valencia","scrub","control_hyper",5,0,2022,NA,"soil","apparent_density",NA,1.09192768016297,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/5/0"
"valencia","scrub","control_hyper",7,20,2022,NA,"soil","apparent_density",NA,1.02368220015279,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/7/20"
"valencia","scrub","control_hyper",7,10,2022,NA,"soil","apparent_density",NA,1.02979373567609,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/7/10"
"valencia","scrub","control_hyper",7,0,2022,NA,"soil","apparent_density",NA,1.00331041507512,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/7/0"
"valencia","scrub","control_hyper",8,0,2022,NA,"soil","apparent_density",NA,1.06035141329259,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/8/0"
"valencia","scrub","control_hyper",5,20,2022,NA,"soil","apparent_density",NA,1.12554112554113,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/5/20"
"valencia","scrub","control_hyper",8,20,2022,NA,"soil","apparent_density",NA,1.18971224853578,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/8/20"
"valencia","scrub","control_hyper",8,10,2022,NA,"soil","apparent_density",NA,1.21517697988286,"AD(g/cm3)",NA,NA,"valencia/scrub/control_hyper/8/10"
"valencia","scrub","high",12,10,2022,NA,"soil","apparent_density",NA,0.8943213649096,"AD(g/cm3)",NA,NA,"valencia/scrub/high/12/10"
"valencia","scrub","high",11,10,2022,NA,"soil","apparent_density",NA,0.753756047873695,"AD(g/cm3)",NA,NA,"valencia/scrub/high/11/10"
"valencia","scrub","high",12,20,2022,NA,"soil","apparent_density",NA,1.03183091418386,"AD(g/cm3)",NA,NA,"valencia/scrub/high/12/20"
"valencia","scrub","high",10,20,2022,NA,"soil","apparent_density",NA,0.961548255665903,"AD(g/cm3)",NA,NA,"valencia/scrub/high/10/20"
"valencia","scrub","high",11,0,2022,NA,"soil","apparent_density",NA,1.22740005092946,"AD(g/cm3)",NA,NA,"valencia/scrub/high/11/0"
"valencia","scrub","high",11,20,2022,NA,"soil","apparent_density",NA,1.27323656735421,"AD(g/cm3)",NA,NA,"valencia/scrub/high/11/20"
"valencia","scrub","high",10,0,2022,NA,"soil","apparent_density",NA,1.10007639419404,"AD(g/cm3)",NA,NA,"valencia/scrub/high/10/0"
"valencia","scrub","high",12,0,2022,NA,"soil","apparent_density",NA,1.08887191240132,"AD(g/cm3)",NA,NA,"valencia/scrub/high/12/0"
"valencia","scrub","high",9,0,2022,NA,"soil","apparent_density",NA,1.29462694168576,"AD(g/cm3)",NA,NA,"valencia/scrub/high/9/0"
"valencia","scrub","high",10,10,2022,NA,"soil","apparent_density",NA,1.29360835243188,"AD(g/cm3)",NA,NA,"valencia/scrub/high/10/10"
"valencia","scrub","high",9,20,2022,NA,"soil","apparent_density",NA,1.34453781512605,"AD(g/cm3)",NA,NA,"valencia/scrub/high/9/20"
"valencia","scrub","high",9,10,2022,NA,"soil","apparent_density",NA,1.37102113572702,"AD(g/cm3)",NA,NA,"valencia/scrub/high/9/10"
