"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","forest","control","T10",28,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Aira_caryophyllea",1,"cover_percentage",NA,""
"toledo","forest","control","T10",29,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Arabidopsis_thaliana",1,"cover_percentage",NA,""
"toledo","forest","control","T10",30,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Asterolinon_linum-stellatum",1,"cover_percentage",NA,""
"toledo","forest","control","T10",30,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Bellis_perennis",7,"cover_percentage",NA,""
"toledo","forest","control","T10",29,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Bromus_diandrus",5,"cover_percentage",NA,""
"toledo","forest","control","T10",30,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Bromus_diandrus",5,"cover_percentage",NA,""
"toledo","forest","control","T10",29,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Bromus_madritensis",3,"cover_percentage",NA,""
"toledo","forest","control","T10",30,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Bromus_madritensis",2,"cover_percentage",NA,""
"toledo","forest","control","T10",29,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Bromus_sterilis",15,"cover_percentage",NA,""
"toledo","forest","control","T10",30,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Bromus_sterilis",1,"cover_percentage",NA,""
"toledo","forest","control","T10",29,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Cerastium_brachypetalum",5,"cover_percentage",NA,""
"toledo","forest","control","T10",30,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Cerastium_brachypetalum",5,"cover_percentage",NA,""
"toledo","forest","control","T10",30,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Galium_murale",1,"cover_percentage",NA,""
"toledo","forest","control","T10",29,2021,2021-06-07,"vegetation","herbaceous_vegetation_cover","Geranium_rotundifolium",1,"cover_percentage",NA,""
