"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","scrub","hyper",NA,"pitfall_1","2021","2021_06_27","invertebrates","order_diversity","araneae","13","n_individuals",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_1","2021","2021_06_27","invertebrates","order_diversity","collembola","70","n_individuals",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_1","2021","2021_06_27","invertebrates","order_diversity","diptera","1","n_individuals",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_1","2021","2021_06_27","invertebrates","order_diversity","hemiptera","1","n_individuals",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_1","2021","2021_06_27","invertebrates","order_diversity","homoptera","1","n_individuals",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_1","2021","2021_06_27","invertebrates","order_diversity","hymenoptera","63","n_individuals",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_1","2021","2021_06_27","invertebrates","order_diversity","mesostigmata","1","n_individuals",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_2","2021","2021_06_27","invertebrates","order_diversity","araneae","4","n_individuals",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_2","2021","2021_06_27","invertebrates","order_diversity","collembola","1","n_individuals",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_2","2021","2021_06_27","invertebrates","order_diversity","homoptera","1","n_individuals",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_2","2021","2021_06_27","invertebrates","order_diversity","hymenoptera","85","n_individuals",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_2","2021","2021_06_27","invertebrates","order_diversity","mesostigmata","7","n_individuals",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_2","2021","2021_06_27","invertebrates","order_diversity","trombidiformes","1","n_individuals",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_3","2021","2021_06_27","invertebrates","order_diversity","araneae","6","n_individuals",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_3","2021","2021_06_27","invertebrates","order_diversity","collembola","0","n_individuals",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_3","2021","2021_06_27","invertebrates","order_diversity","homoptera","1","n_individuals",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_3","2021","2021_06_27","invertebrates","order_diversity","hymenoptera","86","n_individuals",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_3","2021","2021_06_27","invertebrates","order_diversity","lepidoptera","1","n_individuals",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_3","2021","2021_06_27","invertebrates","order_diversity","mesostigmata","0","n_individuals",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_3","2021","2021_06_27","invertebrates","order_diversity","orthoptera","1","n_individuals",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_3","2021","2021_06_27","invertebrates","order_diversity","psocoptera","4","n_individuals",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_4","2021","2021_06_27","invertebrates","order_diversity","araneae","2","n_individuals",NA,"QMdAPF4_44374"
"toledo","scrub","hyper",NA,"pitfall_4","2021","2021_06_27","invertebrates","order_diversity","coleoptera","1","n_individuals",NA,"QMdAPF4_44374"
"toledo","scrub","hyper",NA,"pitfall_4","2021","2021_06_27","invertebrates","order_diversity","collembola","2","n_individuals",NA,"QMdAPF4_44374"
"toledo","scrub","hyper",NA,"pitfall_4","2021","2021_06_27","invertebrates","order_diversity","hymenoptera","92","n_individuals",NA,"QMdAPF4_44374"
"toledo","scrub","hyper",NA,"pitfall_4","2021","2021_06_27","invertebrates","order_diversity","mesostigmata","12","n_individuals",NA,"QMdAPF4_44374"
