"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Acmaeodera_degener",0.761627907,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Acmaeodera_sp",0.761627907,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Anaspidinae_sp",5.331395349,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Anaspidinae_msp2",1.523255814,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Andrena_msp1",2.284883721,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Andrena_msp3",0,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Andrena_msp5",10.6627907,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Anthaxia_sp",0,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Apis_mellifera",0,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Bombus_terrestris",2.284883721,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Bruchinae_sp",0.761627907,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Camponotus_cruentatus",3.046511628,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Chalcididae_sp",2.284883721,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Chelostoma_msp1",0,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Chrysanthia_sp",2.284883721,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Chrysotoxum_sp",0,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Conopidae_msp1",0.761627907,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Diptera_ms",1.523255814,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Empididae_sp",0,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Empididae_msp2",0.761627907,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Enicopus_sp",27.41860465,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Episyrphus_balteatus",0,"interaction_frequency",NA,"q21_a1"
"toledo","scrub","hyper",NA,1,2021,NA,"ecological_interaction","pollination","Cistus_ladanifer_Eristalis_tenax",3.808139535,"interaction_frequency",NA,"q21_a1"
