"site","habitat","treatment","Cercado","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","Grado de ramoneo","sampling_num","units","comments","author_code"
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Pinus_halepensis",40,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",100,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",120,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_apenninum",3,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",4,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",6,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",33,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",25,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",4,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",110,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Cistus_salviifolius",16,NA,NA,"n_cm_intersected",NA,NA
