"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","forest","control","6","0","2022",NA,"soil","ca",NA,3248,"mg/Kg s.m.s.",NA,"326-2022-00046882"
"toledo","forest","control","6","0","2022",NA,"soil","p",NA,11.4,"mg/Kg s.m.s.",NA,"326-2022-00046882"
"toledo","forest","control","6","0","2022",NA,"soil","mg",NA,353,"mg/Kg s.m.s.",NA,"326-2022-00046882"
"toledo","forest","control","6","0","2022",NA,"soil","n",NA,5.4,"mg/Kg s.m.s.",NA,"326-2022-00046882"
"toledo","forest","control","6","0","2022",NA,"soil","k",NA,336,"mg/Kg s.m.s.",NA,"326-2022-00046882"
"toledo","forest","control","6","0","2022",NA,"soil","na",NA,28,"mg/Kg s.m.s.",NA,"326-2022-00046882"
"toledo","forest","control","6","0","2022",NA,"soil","ca/na",NA,9.2,"ratio",NA,"326-2022-00046882"
"toledo","forest","control","6","0","2022",NA,"soil","ca/k",NA,9.7,"ratio",NA,"326-2022-00046882"
"toledo","forest","control","6","0","2022",NA,"soil","mg/k",NA,1.1,"ratio",NA,"326-2022-00046882"
"toledo","forest","control","6","10","2022",NA,"soil","ca",NA,1677,"mg/Kg s.m.s.",NA,"326-2022-00046883"
"toledo","forest","control","6","10","2022",NA,"soil","p",NA,5.71,"mg/Kg s.m.s.",NA,"326-2022-00046883"
"toledo","forest","control","6","10","2022",NA,"soil","mg",NA,233,"mg/Kg s.m.s.",NA,"326-2022-00046883"
"toledo","forest","control","6","10","2022",NA,"soil","n",NA,4.1,"mg/Kg s.m.s.",NA,"326-2022-00046883"
"toledo","forest","control","6","10","2022",NA,"soil","k",NA,238,"mg/Kg s.m.s.",NA,"326-2022-00046883"
"toledo","forest","control","6","10","2022",NA,"soil","na",NA,29,"mg/Kg s.m.s.",NA,"326-2022-00046883"
"toledo","forest","control","6","10","2022",NA,"soil","ca/na",NA,7.2,"ratio",NA,"326-2022-00046883"
"toledo","forest","control","6","10","2022",NA,"soil","ca/k",NA,7,"ratio",NA,"326-2022-00046883"
"toledo","forest","control","6","10","2022",NA,"soil","mg/k",NA,1,"ratio",NA,"326-2022-00046883"
"toledo","forest","control","6","20","2022",NA,"soil","ca",NA,1902,"mg/Kg s.m.s.",NA,"326-2022-00046884"
"toledo","forest","control","6","20","2022",NA,"soil","p",NA,5.5,"mg/Kg s.m.s.",NA,"326-2022-00046884"
"toledo","forest","control","6","20","2022",NA,"soil","mg",NA,250,"mg/Kg s.m.s.",NA,"326-2022-00046884"
"toledo","forest","control","6","20","2022",NA,"soil","n",NA,2.5,"mg/Kg s.m.s.",NA,"326-2022-00046884"
"toledo","forest","control","6","20","2022",NA,"soil","k",NA,222,"mg/Kg s.m.s.",NA,"326-2022-00046884"
"toledo","forest","control","6","20","2022",NA,"soil","na",NA,30,"mg/Kg s.m.s.",NA,"326-2022-00046884"
"toledo","forest","control","6","20","2022",NA,"soil","ca/na",NA,7.6,"ratio",NA,"326-2022-00046884"
"toledo","forest","control","6","20","2022",NA,"soil","ca/k",NA,8.6,"ratio",NA,"326-2022-00046884"
"toledo","forest","control","6","20","2022",NA,"soil","mg/k",NA,1.1,"ratio",NA,"326-2022-00046884"
"toledo","scrub","hyper","21","0","2022",NA,"soil","ca",NA,1133,"mg/Kg s.m.s.",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","0","2022",NA,"soil","p",NA,3.6,"mg/Kg s.m.s.",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","0","2022",NA,"soil","mg",NA,139,"mg/Kg s.m.s.",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","0","2022",NA,"soil","n",NA,0.74,"mg/Kg s.m.s.",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","0","2022",NA,"soil","k",NA,72,"mg/Kg s.m.s.",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","0","2022",NA,"soil","na",NA,31,"mg/Kg s.m.s.",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","0","2022",NA,"soil","ca/na",NA,8.2,"ratio",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","0","2022",NA,"soil","ca/k",NA,15.7,"ratio",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","0","2022",NA,"soil","mg/k",NA,1.9,"ratio",NA,"326-2022-00046885"
"toledo","scrub","hyper","21","10","2022",NA,"soil","ca",NA,1465,"mg/Kg s.m.s.",NA,"326-2022-00046886"
