"sampling_unit_new","Riqueza","Shannon","Simpson","Abundancia","Sitio","Habitat","Tratamiento","Transecto","Año"
"toledo_forest_control_21_2022",17,14.6145272961196,12.6451612903226,28,"toledo","forest","control","21","2022"
"toledo_forest_control_33_2022",14,11.8212216844623,10.24,32,"toledo","forest","control","33","2022"
"toledo_forest_control_4_2021",15,12.9786508169735,11.5384615384615,30,"toledo","forest","control","4","2021"
"toledo_forest_control_6_2021",11,10,9.09090909090909,20,"toledo","forest","control","6","2021"
"toledo_forest_high_2_2021",12,9.28371106469671,7.51111111111111,26,"toledo","forest","high","2","2021"
"toledo_forest_high_20_2022",11,9.62197225874882,8.52631578947368,18,"toledo","forest","high","20","2022"
"toledo_forest_high_29_2022",12,9.41580832296068,7.71604938271605,25,"toledo","forest","high","29","2022"
"toledo_forest_high_9_2021",9,7.64202288507565,6.42222222222222,17,"toledo","forest","high","9","2021"
"toledo_forest_hyper_1_2021",5,4.45565973351251,4,8,"toledo","forest","hyper","1","2021"
"toledo_forest_hyper_11_2021",6,5.34941802342378,4.76470588235294,9,"toledo","forest","hyper","11","2021"
"toledo_forest_hyper_19_2022",6,5.29870225712421,4.57142857142857,8,"toledo","forest","hyper","19","2022"
"toledo_forest_hyper_32_2022",7,5.33874182963796,4.18840579710145,17,"toledo","forest","hyper","32","2022"
"toledo_scrub_control_14_2022",2,1.88988157484231,1.8,3,"toledo","scrub","control","14","2022"
"toledo_scrub_control_16_2022",2,1.64938488846612,1.47058823529412,5,"toledo","scrub","control","16","2022"
"toledo_scrub_control_22_2022",3,2.82842712474619,2.66666666666667,4,"toledo","scrub","control","22","2022"
"toledo_scrub_control_23_2022",3,3,3,6,"toledo","scrub","control","23","2022"
"toledo_scrub_control_36_2022",5,4.37136934400712,3.76923076923077,7,"toledo","scrub","control","36","2022"
"toledo_scrub_control_5_2021",3,3,3,3,"toledo","scrub","control","5","2021"
"toledo_scrub_control_7_2021",4,4,4,4,"toledo","scrub","control","7","2021"
"toledo_scrub_control_8_2021",3,2.82842712474619,2.66666666666667,4,"toledo","scrub","control","8","2021"
"toledo_scrub_high_13_2022",3,2.4602329762891,2.13333333333333,8,"toledo","scrub","high","13","2022"
"toledo_scrub_high_24_2022",1,1,1,1,"toledo","scrub","high","24","2022"
"toledo_scrub_high_25_2022",1,1,1,1,"toledo","scrub","high","25","2022"
"toledo_scrub_high_26_2022",1,1,1,1,"toledo","scrub","high","26","2022"
"toledo_scrub_high_28_2022",1,1,1,2,"toledo","scrub","high","28","2022"
"toledo_scrub_high_3_2021",4,4,4,4,"toledo","scrub","high","3","2021"
"toledo_scrub_high_35_2022",1,1,1,2,"toledo","scrub","high","35","2022"
"toledo_scrub_hyper_1_2021",2,2,2,2,"toledo","scrub","hyper","1","2021"
"toledo_scrub_hyper_11_2021",1,1,1,1,"toledo","scrub","hyper","11","2021"
"toledo_scrub_hyper_12_2022",2,2,2,2,"toledo","scrub","hyper","12","2022"
"toledo_scrub_hyper_17_2022",2,2,2,2,"toledo","scrub","hyper","17","2022"
"toledo_scrub_hyper_18_2022",3,2.82842712474619,2.66666666666667,4,"toledo","scrub","hyper","18","2022"
"toledo_scrub_hyper_30_2022",1,1,1,1,"toledo","scrub","hyper","30","2022"
"toledo_scrub_hyper_31_2022",3,2.60049000598966,2.33333333333333,7,"toledo","scrub","hyper","31","2022"
