"sampling_unit_new","connectance","weighted_NODF","interaction_evenness","specificity_H2","modularity","riqueza_interacciones","especies_polinizadores","especies_plantas","treatment","sampling_unit","year"
"control_1_2021",25.5599459057581,0.0821127839002658,0.490497542467488,0.514752968713618,0.258488728075095,89,56,9,"control",1,"2021"
"control_1_2022",21.3100717644148,0.0865321773927385,0.554956603158726,0.5597131220786,0.415775225190652,119,73,12,"control",1,"2022"
"control_2_2021",21.3649595228543,0.086036655009643,0.556684850679677,0.52218876425424,0.339793125907023,131,76,9,"control",2,"2021"
"control_2_2022",18.6759081560917,0.0751872272987178,0.5603269563532,0.641601326984359,0.504300430078096,161,91,13,"control",2,"2022"
"control_3_2021",21.7822639837374,0.0837672987254418,0.533965234314825,0.613928173749324,0.42486212655311,125,72,10,"control",3,"2021"
"control_3_2022",15.6020911846155,0.0676801276412889,0.550816281365847,0.64143103634378,0.51832284517778,157,82,13,"control",3,"2022"
"high_1_2021",22.8592782404442,0.110783556836543,0.523976516916018,0.587879666509959,0.194393435208948,78,56,7,"high",1,"2021"
"high_1_2022",10.1531976146412,0.0855465075556814,0.459479405766505,0.624300627776853,0.368703482159727,68,55,17,"high",1,"2022"
"high_2_2021",27.5593393621282,0.13647715826947,0.604719015121017,0.531227699221567,0.33389243849104,101,55,7,"high",2,"2021"
"high_2_2022",12.5515796609192,0.091225117742712,0.477093904891132,0.701320384715444,0.350852655699624,102,73,14,"high",2,"2022"
"high_3_2021",20.8667543282928,0.116173074836884,0.54386209820628,0.639915463951663,0.345640723431562,77,55,9,"high",3,"2021"
"high_3_2022",14.8819383803904,0.0801422854713729,0.490362643511625,0.797596235971365,0.501904125359246,81,63,9,"high",3,"2022"
"hyper_1_2021",31.1619020992055,0.0873733303966788,0.498577963637276,0.269517575789752,0.162731259301684,86,55,7,"hyper",1,"2021"
"hyper_1_2022",21.8373493975904,0.107861964532542,0.45601801732171,0.717271459426512,0.126485829505433,49,41,5,"hyper",1,"2022"
"hyper_2_2021",31.5602485590778,0.0891892548245677,0.519031110461387,0.272245708745893,0.15307554327639,87,53,5,"hyper",2,"2021"
"hyper_2_2022",24.6875,0.0816184316338365,0.427083156401451,0.489807562793197,0.0575614551827655,75,61,5,"hyper",2,"2022"
"hyper_3_2021",30.7663255360624,0.0934321861079716,0.508811411013458,0.327818218541661,0.156801105866715,99,66,6,"hyper",3,"2021"
"hyper_3_2022",18.6087689713322,0.0969854934244713,0.442994633690212,0.601124215936735,0.0640244667679956,58,49,5,"hyper",3,"2022"
