"site","treatment","sampling_unit","year","observation","level","sampling_unit_new"
"toledo","control","trap_1",2021,66.6666666666667,"raton","toledo/control/trap_1/2021"
"valencia","control_high","trap_1",2021,0,"raton","valencia/control_high/trap_1/2021"
"valencia","control_hyper","trap_1",2021,33.3333333333333,"raton","valencia/control_hyper/trap_1/2021"
"toledo","high","trap_1",2021,33.3333333333333,"raton","toledo/high/trap_1/2021"
"valencia","high","trap_1",2021,0,"raton","valencia/high/trap_1/2021"
"toledo","hyper","trap_1",2021,0,"raton","toledo/hyper/trap_1/2021"
"valencia","hyper","trap_1",2021,0,"raton","valencia/hyper/trap_1/2021"
"toledo","control","trap_10",2021,33.3333333333333,"raton","toledo/control/trap_10/2021"
"valencia","control_high","trap_10",2021,0,"raton","valencia/control_high/trap_10/2021"
"valencia","control_hyper","trap_10",2021,0,"raton","valencia/control_hyper/trap_10/2021"
"toledo","high","trap_10",2021,66.6666666666667,"raton","toledo/high/trap_10/2021"
"valencia","high","trap_10",2021,0,"raton","valencia/high/trap_10/2021"
"toledo","hyper","trap_10",2021,0,"raton","toledo/hyper/trap_10/2021"
"valencia","hyper","trap_10",2021,0,"raton","valencia/hyper/trap_10/2021"
"toledo","control","trap_11",2021,33.3333333333333,"raton","toledo/control/trap_11/2021"
"valencia","control_high","trap_11",2021,0,"raton","valencia/control_high/trap_11/2021"
"valencia","control_hyper","trap_11",2021,33.3333333333333,"raton","valencia/control_hyper/trap_11/2021"
"toledo","high","trap_11",2021,33.3333333333333,"raton","toledo/high/trap_11/2021"
"valencia","high","trap_11",2021,66.6666666666667,"raton","valencia/high/trap_11/2021"
"toledo","hyper","trap_11",2021,0,"raton","toledo/hyper/trap_11/2021"
"valencia","hyper","trap_11",2021,0,"raton","valencia/hyper/trap_11/2021"
"toledo","control","trap_12",2021,0,"raton","toledo/control/trap_12/2021"
"valencia","control_high","trap_12",2021,33.3333333333333,"raton","valencia/control_high/trap_12/2021"
"valencia","control_hyper","trap_12",2021,33.3333333333333,"raton","valencia/control_hyper/trap_12/2021"
"toledo","high","trap_12",2021,66.6666666666667,"raton","toledo/high/trap_12/2021"
"valencia","high","trap_12",2021,33.3333333333333,"raton","valencia/high/trap_12/2021"
"toledo","hyper","trap_12",2021,33.3333333333333,"raton","toledo/hyper/trap_12/2021"
"valencia","hyper","trap_12",2021,33.3333333333333,"raton","valencia/hyper/trap_12/2021"
"toledo","control","trap_13",2021,33.3333333333333,"raton","toledo/control/trap_13/2021"
"valencia","control_high","trap_13",2021,0,"raton","valencia/control_high/trap_13/2021"
"valencia","control_hyper","trap_13",2021,0,"raton","valencia/control_hyper/trap_13/2021"
"toledo","high","trap_13",2021,33.3333333333333,"raton","toledo/high/trap_13/2021"
"valencia","high","trap_13",2021,0,"raton","valencia/high/trap_13/2021"
"toledo","hyper","trap_13",2021,33.3333333333333,"raton","toledo/hyper/trap_13/2021"
"valencia","hyper","trap_13",2021,0,"raton","valencia/hyper/trap_13/2021"
"toledo","control","trap_14",2021,66.6666666666667,"raton","toledo/control/trap_14/2021"
"valencia","control_high","trap_14",2021,33.3333333333333,"raton","valencia/control_high/trap_14/2021"
"valencia","control_hyper","trap_14",2021,0,"raton","valencia/control_hyper/trap_14/2021"
"toledo","high","trap_14",2021,33.3333333333333,"raton","toledo/high/trap_14/2021"
"valencia","high","trap_14",2021,33.3333333333333,"raton","valencia/high/trap_14/2021"
"toledo","hyper","trap_14",2021,0,"raton","toledo/hyper/trap_14/2021"
"valencia","hyper","trap_14",2021,0,"raton","valencia/hyper/trap_14/2021"
"toledo","control","trap_15",2021,66.6666666666667,"raton","toledo/control/trap_15/2021"
"valencia","control_high","trap_15",2021,66.6666666666667,"raton","valencia/control_high/trap_15/2021"
"valencia","control_hyper","trap_15",2021,0,"raton","valencia/control_hyper/trap_15/2021"
"toledo","high","trap_15",2021,66.6666666666667,"raton","toledo/high/trap_15/2021"
"valencia","high","trap_15",2021,0,"raton","valencia/high/trap_15/2021"
"toledo","hyper","trap_15",2021,0,"raton","toledo/hyper/trap_15/2021"
"valencia","hyper","trap_15",2021,0,"raton","valencia/hyper/trap_15/2021"
"valencia","control_high","trap_16",2021,33.3333333333333,"raton","valencia/control_high/trap_16/2021"
"valencia","control_hyper","trap_16",2021,0,"raton","valencia/control_hyper/trap_16/2021"
"toledo","high","trap_16",2021,0,"raton","toledo/high/trap_16/2021"
"valencia","high","trap_16",2021,0,"raton","valencia/high/trap_16/2021"
"toledo","hyper","trap_16",2021,33.3333333333333,"raton","toledo/hyper/trap_16/2021"
"valencia","hyper","trap_16",2021,0,"raton","valencia/hyper/trap_16/2021"
"valencia","control_high","trap_17",2021,0,"raton","valencia/control_high/trap_17/2021"
"valencia","control_hyper","trap_17",2021,66.6666666666667,"raton","valencia/control_hyper/trap_17/2021"
"toledo","high","trap_17",2021,33.3333333333333,"raton","toledo/high/trap_17/2021"
"valencia","high","trap_17",2021,33.3333333333333,"raton","valencia/high/trap_17/2021"
"toledo","hyper","trap_17",2021,0,"raton","toledo/hyper/trap_17/2021"
"valencia","hyper","trap_17",2021,0,"raton","valencia/hyper/trap_17/2021"
"valencia","control_high","trap_18",2021,0,"raton","valencia/control_high/trap_18/2021"
"valencia","control_hyper","trap_18",2021,0,"raton","valencia/control_hyper/trap_18/2021"
"toledo","high","trap_18",2021,0,"raton","toledo/high/trap_18/2021"
"valencia","high","trap_18",2021,33.3333333333333,"raton","valencia/high/trap_18/2021"
"toledo","hyper","trap_18",2021,0,"raton","toledo/hyper/trap_18/2021"
"valencia","hyper","trap_18",2021,0,"raton","valencia/hyper/trap_18/2021"
