"site","treatment","year","mean_s","sd_s","n_s","mean_k","sd_k","n_k"
"toledo","control",2021,0.448148386360187,0.101634861426018,14,0.0142337696235495,0.00458307563662066,13
"toledo","control",2022,0.502970795292647,0.0916769375115973,24,0.00831589190635237,0.00508036638424523,20
"toledo","high",2021,0.425850792350609,0.0679422880268715,16,0.013932987088234,0.00456866730862112,15
"toledo","high",2022,0.494974111772937,0.0542526731607853,21,0.00914168000179454,0.00641256166035398,17
"toledo","hyper",2021,0.419957350450389,0.0468039693015103,18,0.0132028957741996,0.0100475721335457,15
"toledo","hyper",2022,0.534807625655731,0.101052517603954,29,0.00932948391487445,0.00603992480650967,22
"valencia","control_high",2021,0.396851720795739,0.106612571059477,8,0.0162987420353057,0.0116711546360833,4
"valencia","control_high",2022,0.49880048822528,0.0895442023697917,24,0.00274906662995837,0.00145205115934938,20
"valencia","control_hyper",2021,0.390109035431404,0.0647164604786854,10,0.0135949803469649,0.00479214497587352,8
"valencia","control_hyper",2022,0.432837608120157,0.0543377967963393,23,0.00249816873672377,0.00124819269940884,21
"valencia","high",2021,0.443590359125708,0.0618809632039208,14,0.0192170426142875,0.0144265378136657,12
"valencia","high",2022,0.44899125937061,0.0748730770686809,20,0.0034496591773846,0.00203391511960273,14
"valencia","hyper",2021,0.43059282059131,0.0674783557185149,11,0.016867569316239,0.00317857374156066,11
"valencia","hyper",2022,0.443421450462309,0.0615095947607986,23,0.00376340369719698,0.00327083596034211,20
