"observation","site","habitat","treatment","plot","sampling_unit","year","variable_type","variable_name","level","units","comments","author_code"
2.25,"valencia",NA,"control_high",NA,"AE1",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE1",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
2,"valencia",NA,"control_high",NA,"AE10",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE10",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"control_high",NA,"AE2",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE2",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1.25,"valencia",NA,"control_high",NA,"AE3",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE3",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"control_high",NA,"AE4",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE4",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1.75,"valencia",NA,"control_high",NA,"AE5",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE5",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"control_high",NA,"AE6",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE6",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1,"valencia",NA,"control_high",NA,"AE7",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE7",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"control_high",NA,"AE8",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE8",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"control_high",NA,"AE9",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_high",NA,"AE9",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.75,"valencia",NA,"control_hyper",NA,"BE1",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.333333333333333,"valencia",NA,"control_hyper",NA,"BE1",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_hyper",NA,"BE2",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_hyper",NA,"BE2",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"control_hyper",NA,"BE3",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_hyper",NA,"BE3",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"control_hyper",NA,"BE4",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_hyper",NA,"BE4",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"control_hyper",NA,"BE5",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
