"sampling_unit_new","year","Riqueza","Shannon","Simpson","Abundancia"
"toledo_forest_control_T10",2021,3,2.0892953762567,1.9039097539981,615
"toledo_forest_control_T10",2022,3,2.12466468570668,1.98646872094142,704
"toledo_forest_control_T6",2021,4,2.22620612586858,1.82892006888267,1758
"toledo_forest_control_T6",2022,4,2.10579055706802,1.71867612557882,1752
"toledo_forest_control_T7",2021,4,1.39945901030433,1.16001531061532,1695
"toledo_forest_control_T7",2022,6,1.63469994144201,1.26155902004454,1785
"toledo_forest_control_T8",2021,3,2.54777802777464,2.25541423169474,405
"toledo_forest_control_T8",2022,3,2.52139462575453,2.22239310981237,425
"toledo_forest_control_T9",2021,4,2.63376848174135,2.23846529966813,656
"toledo_forest_control_T9",2022,4,2.42134289185737,2.05774278215223,840
"toledo_forest_high_T11",2021,4,2.40282862839943,2.13000763631201,2356
"toledo_forest_high_T11",2022,4,2.47413633836659,2.22836797217852,2320
"toledo_forest_high_T12",2021,3,1.99229978297611,1.73010955799018,214
"toledo_forest_high_T12",2022,3,2.81063577926292,2.63512490537472,295
"toledo_forest_high_T13",2021,3,1.18341297259816,1.06977765468233,926
"toledo_forest_high_T13",2022,3,1.1446079097957,1.05357618836073,1540
"toledo_forest_high_T14",2021,4,1.85591183171158,1.42498989358371,1582
"toledo_forest_high_T14",2022,3,1.70366292376753,1.37033926400707,1245
"toledo_forest_high_T15",2021,4,2.58658515985623,2.23527049077444,1266
"toledo_forest_high_T15",2022,4,2.44073726786437,2.17959302479426,1435
"toledo_forest_hyper_T16",2021,5,3.93194451362041,3.33829719841536,1206
"toledo_forest_hyper_T16",2022,5,3.78603593095529,3.24516531503431,1020
"toledo_forest_hyper_T17",2021,5,3.03929259382591,2.33722679476868,2064
"toledo_forest_hyper_T17",2022,4,2.16432629741706,1.93931473626988,1578
"toledo_forest_hyper_T19",2021,6,4.58594121608465,4.11751752970664,1274
"toledo_forest_hyper_T19",2022,6,4.15623576955283,3.54267379679144,910
"toledo_forest_hyper_T20",2021,6,2.39041191598549,1.78456988106339,2807
"toledo_forest_hyper_T20",2022,4,2.21724166870296,1.79507937911262,1885
