"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","forest","hyper",NA,1,2021,2021-05-19,"birds","birds","Cyanistes_caueruleus",1,"n_individuals",13,NA
"toledo","forest","hyper",NA,1,2021,2021-05-19,"birds","birds","Turdus_merula",3,"n_individuals",13,NA
"toledo","forest","hyper",NA,1,2021,2021-05-19,"birds","birds","Erithacus_rubecula",1,"n_individuals",13,NA
"toledo","forest","hyper",NA,1,2021,2021-05-19,"birds","birds","Sitta_europaea",2,"n_individuals",13,NA
"toledo","forest","hyper",NA,1,2021,2021-05-19,"birds","birds","Sylvia_melanocephala",1,"n_individuals",13,NA
"toledo","scrub","hyper",NA,1,2021,2021-05-19,"birds","birds","Sylvia_undata",1,"n_individuals",10,NA
"toledo","scrub","hyper",NA,1,2021,2021-05-19,"birds","birds","Turdus_merula",1,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Parus_major",1,"n_individuals",13,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Troglodytes_troglodytes",1,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Cyanistes_caueruleus",1,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Fringilla_coelebs",3,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Certhya_brachydactyla",1,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Sitta_europaea",3,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Turdus_merula",5,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Phyllocopus_boneli",1,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Aegithalos_caudatus",6,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Erithacus_rubecula",2,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Luscinia_megarhynchos",1,"n_individuals",10,NA
"toledo","forest","high",NA,2,2021,2021-05-19,"birds","birds","Oriolus_oriolus",1,"n_individuals",10,NA
"toledo","scrub","high",NA,3,2021,2021-05-19,"birds","birds","Serinus_serinus",1,"n_individuals",8,NA
"toledo","scrub","high",NA,3,2021,2021-05-19,"birds","birds","Turdus_merula",1,"n_individuals",8,NA
"toledo","scrub","high",NA,3,2021,2021-05-19,"birds","birds","Sylvia_cantillans",1,"n_individuals",8,NA
"toledo","scrub","high",NA,3,2021,2021-05-19,"birds","birds","Sylvia_melanocephala",1,"n_individuals",8,NA
"toledo","forest","control",NA,4,2021,2021-05-19,"birds","birds","Troglodytes_troglodytes",3,"n_individuals",10,NA
