"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","valor","units","comments","author_code"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",36.91,NA,NA,"108CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.2,NA,NA,"108CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",29.1,NA,NA,"108CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.18,NA,NA,"108CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",50.156,NA,NA,"435CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.125,NA,NA,"435CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",29.659,NA,NA,"435CL"
"toledo",NA,"control",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.164,NA,NA,"435CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",42.975,NA,NA,"123CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.14,NA,NA,"123CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",26.945,NA,NA,"123CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","new_leave",0.176,NA,NA,"123CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","old_leave",41.209,NA,NA,"121CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","antocianina","old_leave",0.167,NA,NA,"121CL"
"toledo",NA,"hyper",NA,NA,2021,NA,"Cistus_ladanifer","clorofila","new_leave",29.387,NA,NA,"121CL"
