"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo",NA,"hyper",NA,"48","2022","2022_06_07","fuego","FMC","cistus_ladanifer",118.9,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"hyper",NA,"48","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",90.8106456505714,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"48","2022","2022_06_07","fuego","TTI","cistus_ladanifer",89,"Time to Ignition (s)",NA,NA
"toledo",NA,"hyper",NA,"48","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",62.0446367452095,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"48","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",4.46243112559088,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"hyper",NA,"48","2022","2022_06_07","fuego","THR","cistus_ladanifer",3.62686375215761,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"hyper",NA,"48","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.140637205614377,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"hyper",NA,"44","2022","2022_06_07","fuego","FMC","cistus_ladanifer",145.3,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"hyper",NA,"44","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",74.4953073402632,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"44","2022","2022_06_07","fuego","TTI","cistus_ladanifer",24,"Time to Ignition (s)",NA,NA
"toledo",NA,"hyper",NA,"44","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",53.2308505232288,"Heat Release Ratio (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"44","2022","2022_06_07","fuego","AEHC","cistus_ladanifer",3.60513573099255,"Average Effective Heat of Combustion (MJ/kg)",NA,NA
"toledo",NA,"hyper",NA,"44","2022","2022_06_07","fuego","THR","cistus_ladanifer",1.27754041255749,"Total Heat Release (MJ/m²)",NA,NA
"toledo",NA,"hyper",NA,"44","2022","2022_06_07","fuego","mean_MLR","cistus_ladanifer",0.149299083333333,"Mass Lost Rate (g/s)",NA,NA
"toledo",NA,"hyper",NA,"53","2022","2022_06_07","fuego","FMC","cistus_ladanifer",110,"Fuel Moisture Content (%)",NA,NA
"toledo",NA,"hyper",NA,"53","2022","2022_06_07","fuego","PHRR","cistus_ladanifer",94.4868063538256,"Peak of Heat Release Rate (KW/m²)",NA,NA
"toledo",NA,"hyper",NA,"53","2022","2022_06_07","fuego","TTI","cistus_ladanifer",166,"Time to Ignition (s)",NA,NA
"toledo",NA,"hyper",NA,"53","2022","2022_06_07","fuego","mean_HRR","cistus_ladanifer",55.7636989786691,"Heat Release Ratio (KW/m²)",NA,NA
