"treatment","sampling_unit","indice","valor"
"control","control_1_2022_control_1_2021","euclidean_topology_distance",1.83986905589424
"control","control_2_2022_control_1_2021","euclidean_topology_distance",2.60551972470139
"control","control_3_2022_control_1_2021","euclidean_topology_distance",2.81181284690067
"control","control_2_2021_control_1_2022","euclidean_topology_distance",0.440039271888116
"control","control_3_2021_control_1_2022","euclidean_topology_distance",0.458845701666729
"control","control_2_2022_control_2_2021","euclidean_topology_distance",1.45823926508987
"control","control_3_2022_control_2_2021","euclidean_topology_distance",1.89737327431826
"control","control_3_2021_control_2_2022","euclidean_topology_distance",0.924224028997383
"control","control_3_2022_control_3_2021","euclidean_topology_distance",1.26967655296194
"high","high_1_2022_high_1_2021","euclidean_topology_distance",2.75958867866694
"high","high_2_2022_high_1_2021","euclidean_topology_distance",2.4994627157817
"high","high_3_2022_high_1_2021","euclidean_topology_distance",3.12176114683684
"high","high_2_2021_high_1_2022","euclidean_topology_distance",4.88772175682174
"high","high_3_2021_high_1_2022","euclidean_topology_distance",2.72953587227713
"high","high_2_2022_high_2_2021","euclidean_topology_distance",4.528616123307
"high","high_3_2022_high_2_2021","euclidean_topology_distance",4.73967912790066
"high","high_3_2021_high_2_2022","euclidean_topology_distance",2.36356727488378
"high","high_3_2022_high_3_2021","euclidean_topology_distance",2.63286082952166
"hyper","hyper_1_2022_hyper_1_2021","euclidean_topology_distance",2.424246951179
"hyper","hyper_2_2022_hyper_1_2021","euclidean_topology_distance",2.30548318612575
"hyper","hyper_3_2022_hyper_1_2021","euclidean_topology_distance",2.61485617456135
"hyper","hyper_2_2021_hyper_1_2022","euclidean_topology_distance",2.66801551999691
"hyper","hyper_3_2021_hyper_1_2022","euclidean_topology_distance",2.38974778875564
"hyper","hyper_2_2022_hyper_2_2021","euclidean_topology_distance",2.66559414880934
"hyper","hyper_3_2022_hyper_2_2021","euclidean_topology_distance",2.92067178506027
"hyper","hyper_3_2021_hyper_2_2022","euclidean_topology_distance",2.42926755924952
"hyper","hyper_3_2022_hyper_3_2021","euclidean_topology_distance",2.65012499852719
"control","1_2021_1_2022","delta_interacciones",30
"control","1_2021_1_2022","delta_polinizadores_sp",17
"control","1_2021_1_2022","delta_plantas_flor_sp",3
"control","1_2021_2_2022","delta_interacciones",72
"control","1_2021_2_2022","delta_polinizadores_sp",35
"control","1_2021_2_2022","delta_plantas_flor_sp",4
"control","1_2021_3_2022","delta_interacciones",68
