"site","treatment","species","sampling_unit","indice","valor"
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/131CL","antocianina_delta",0.054
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/129QI","antocianina_delta",0.481
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/141CL","antocianina_delta",0.106
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/142QI","antocianina_delta",0.141
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/148QI","antocianina_delta",0.224
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/289CL","antocianina_delta",0.094
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/121CL","antocianina_delta",0.096
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/119CL","antocianina_delta",0.072
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/123CL","antocianina_delta",0.09
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/5CL","antocianina_delta",0.106
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/3CL","antocianina_delta",0.049
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/97QI","antocianina_delta",0.118
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/103QI","antocianina_delta",0.275
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/108CL","antocianina_delta",0.06
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/274CL","antocianina_delta",0.072
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/176CL","antocianina_delta",0.118
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/178QI","antocianina_delta",0.262
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/179QI","antocianina_delta",0.134
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/177QI","antocianina_delta",0.161
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/175QI","antocianina_delta",0.551
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/182QI","antocianina_delta",0.267
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/184CL","antocianina_delta",0.128
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/301CL","antocianina_delta",0.072
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/350CL","antocianina_delta",0.181
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/187QI","antocianina_delta",0.161
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/256CL","antocianina_delta",0.104
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/190QI","antocianina_delta",0.164
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/255CL","antocianina_delta",0.092
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/189QI","antocianina_delta",0.361
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/259CL","antocianina_delta",0.059
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/172CL","antocianina_delta",0.127
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/269CL","antocianina_delta",0.078
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/171QI","antocianina_delta",0.451
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/268CL","antocianina_delta",0.132
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/166QI","antocianina_delta",0.191
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/362CL","antocianina_delta",0.132
"toledo","high","Quercus_ilex","toledo/high/Quercus_ilex/168QI","antocianina_delta",0.313
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/161QI","antocianina_delta",0.226
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/160QI","antocianina_delta",0.32
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/358CL","antocianina_delta",0.016
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/159QI","antocianina_delta",0.278
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/279CL","antocianina_delta",0.071
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/157QI","antocianina_delta",0.357
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/156QI","antocianina_delta",0.075
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/155QI","antocianina_delta",0.494
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/154QI","antocianina_delta",0.305
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/153QI","antocianina_delta",0.178
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/242CL","antocianina_delta",0.097
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/76QI","antocianina_delta",0.09
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/69CL","antocianina_delta",0.114
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/64CL","antocianina_delta",0.102
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/253CL","antocianina_delta",0.193
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/66CL","antocianina_delta",0.044
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/352CL","antocianina_delta",0.157
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/59CL","antocianina_delta",0.063
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/167CL","antocianina_delta",0.058
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/260CL","antocianina_delta",0.116
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/40CL","antocianina_delta",0.068
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/432CL","antocianina_delta",0.128
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/31CL","antocianina_delta",0.06
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/433CL","antocianina_delta",0.111
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/39QI","antocianina_delta",0.365
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/37QI","antocianina_delta",0.273
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/434CL","antocianina_delta",0.417
"toledo","control","Cistus_ladanifer","toledo/control/Cistus_ladanifer/435CL","antocianina_delta",0.136
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/65QI","antocianina_delta",0.244
"toledo","hyper","Quercus_ilex","toledo/hyper/Quercus_ilex/67QI","antocianina_delta",0.068
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/58CL","antocianina_delta",0.064
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/53CL","antocianina_delta",0.116
"toledo","high","Cistus_ladanifer","toledo/high/Cistus_ladanifer/292CL","antocianina_delta",0.104
"toledo","hyper","Cistus_ladanifer","toledo/hyper/Cistus_ladanifer/52CL","antocianina_delta",0.084
