"site","habitat","treatment","sampling_unit","indice","valor"
"valencia","scrub","control_high","valencia/scrub/control_high/13/20","apparent_density_delta ",-0.276037687802394
"valencia","scrub","control_high","valencia/scrub/control_high/16/10","apparent_density_delta ",-0.115100585688817
"valencia","scrub","control_high","valencia/scrub/control_high/16/20","apparent_density_delta ",-0.0600967659791191
"valencia","scrub","control_high","valencia/scrub/control_high/16/0","apparent_density_delta ",0.00305576776165006
"valencia","scrub","control_high","valencia/scrub/control_high/13/0","apparent_density_delta ",0.112044817927171
"valencia","scrub","control_high","valencia/scrub/control_high/14/0","apparent_density_delta ",0.0539852304558229
"valencia","scrub","control_high","valencia/scrub/control_high/15/20","apparent_density_delta ",-0.0723198370257199
"valencia","scrub","control_high","valencia/scrub/control_high/14/10","apparent_density_delta ",0.0539852304558202
"valencia","scrub","control_high","valencia/scrub/control_high/13/10","apparent_density_delta ",0.08046855105679
"valencia","scrub","control_high","valencia/scrub/control_high/15/10","apparent_density_delta ",0.27501909854851
"valencia","scrub","control_high","valencia/scrub/control_high/14/20","apparent_density_delta ",0.263814616755797
"valencia","scrub","control_high","valencia/scrub/control_high/15/0","apparent_density_delta ",0.24344283167812
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/5/10","apparent_density_delta ",-0.117137764196583
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/6/0","apparent_density_delta ",-0.12324929971989
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/6/20","apparent_density_delta ",-0.0203717850776669
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/6/10","apparent_density_delta ",-0.020371785077668
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/5/0","apparent_density_delta ",-0.0325948561242699
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/7/20","apparent_density_delta ",-0.0183346065698999
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/7/10","apparent_density_delta ",-0.30557677616501
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/7/0","apparent_density_delta ",-0.01935319582378
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/8/0","apparent_density_delta ",-0.33613445378151
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/5/20","apparent_density_delta ",-0.0183346065698999
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/8/20","apparent_density_delta ",-0.00814871403105988
"valencia","scrub","control_hyper","valencia/scrub/control_hyper/8/10","apparent_density_delta ",-0.16093710211357
"valencia","scrub","high","valencia/scrub/high/12/10","apparent_density_delta ",0.00916730328494997
"valencia","scrub","high","valencia/scrub/high/11/10","apparent_density_delta ",-0.256684491978605
"valencia","scrub","high","valencia/scrub/high/12/20","apparent_density_delta ",0.04379933791699
"valencia","scrub","high","valencia/scrub/high/10/20","apparent_density_delta ",-0.227145403615987
"valencia","scrub","high","valencia/scrub/high/11/0","apparent_density_delta ",0.00305576776165006
"valencia","scrub","high","valencia/scrub/high/11/20","apparent_density_delta ",0.337153043035392
"valencia","scrub","high","valencia/scrub/high/10/0","apparent_density_delta ",0.398268398268397
"valencia","scrub","high","valencia/scrub/high/12/0","apparent_density_delta ",-0.12019353195824
"valencia","scrub","high","valencia/scrub/high/9/0","apparent_density_delta ",0.25261013496307
"valencia","scrub","high","valencia/scrub/high/10/10","apparent_density_delta ",0.412528647822764
