"site","habitat","treatment","sampling_unit","indice","valor"
"toledo",NA,"hyper","Arbutus_unedo","woody_browsing_delta",3
"toledo",NA,"high","Cistus_ladanifer","woody_browsing_delta",0.744845886915697
"toledo",NA,"hyper","Cistus_ladanifer","woody_browsing_delta",1.04716981132075
"toledo",NA,"hyper","Cistus_populifolius","woody_browsing_delta",2.17391304347826
"toledo",NA,"high","Daphne_gnidium","woody_browsing_delta",1
"toledo",NA,"hyper","Daphne_gnidium","woody_browsing_delta",1
"toledo",NA,"high","Erica_arborea","woody_browsing_delta",-0.655409631019387
"toledo",NA,"hyper","Erica_arborea","woody_browsing_delta",1.58139534883721
"toledo",NA,"high","Erica_australis","woody_browsing_delta",-1
"toledo",NA,"hyper","Erica_australis","woody_browsing_delta",1.20471014492754
"toledo",NA,"high","Erica_scoparia","woody_browsing_delta",0
"toledo",NA,"hyper","Erica_scoparia","woody_browsing_delta",1.75
"toledo",NA,"high","Phillyrea_angustifolia","woody_browsing_delta",0
"toledo",NA,"hyper","Phillyrea_angustifolia","woody_browsing_delta",0.5
"toledo",NA,"high","Pinus_pinaster","woody_browsing_delta",1.85
"toledo",NA,"hyper","Pinus_pinaster","woody_browsing_delta",4.25
"toledo",NA,"high","Quercus_ilex","woody_browsing_delta",2.13186813186813
"toledo",NA,"hyper","Quercus_ilex","woody_browsing_delta",0.911111111111111
"toledo",NA,"high","Quercus_pyrenaica","woody_browsing_delta",0.5
"toledo",NA,"high","Rosmarinus_officinalis","woody_browsing_delta",-0.150641025641026
"toledo",NA,"hyper","Rosmarinus_officinalis","woody_browsing_delta",0.804347826086957
"toledo",NA,"hyper","Thymelaea_villosa","woody_browsing_delta",0
"toledo",NA,"high","Thymus_mastichina","woody_browsing_delta",0.5
"toledo",NA,"hyper","Thymus_mastichina","woody_browsing_delta",3
