"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Asphodelus_cerasiferus",0,"browsing semi-cuantitative index","Añadir 10 cm Erinacea anthyllis en T21",""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Avenula_bromoides",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Brachypodium_retusum",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Carex_halleriana",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Gladiolus_communis",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Koeleria_vallesiana",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Linum_trigynum",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Orobanche_latisquama",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Stipa_offneri",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",31,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Teucrium_pseudochamaepitys",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",32,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Centaurea_linifolia",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",32,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Euphorbia_isatidifolia",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",32,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Iris_lutescens",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",32,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Sedum_album",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",32,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Sedum_sediforme",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",32,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Stipa_offneri",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",33,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Asterolinon_linum-stellatum",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",33,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Elaeoselinum_asclepium",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",33,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Filago_arvensis",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",33,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Stipa_offneri",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T17",33,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Teucrium_pseudochamaepitys",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Anthyllis_vulneraria",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Avenula_bromoides",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Brachypodium_retusum",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Elaeoselinum_asclepium",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Koeleria_vallesiana",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Linum_narbonense",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Stipa_offneri",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Teucrium_chamaedrys",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",34,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Thesium_humifusum",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",35,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Anthyllis_vulneraria",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",35,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Aphyllanthes_monspeliensis",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",35,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Asphodelus_cerasiferus",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",35,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Elaeoselinum_asclepium",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",35,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Gladiolus_communis",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",35,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Teucrium_pseudochamaepitys",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",36,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Brachypodium_retusum",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",36,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Elaeoselinum_asclepium",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",36,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Euphorbia_isatidifolia",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",36,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Gladiolus_communis",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",36,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Koeleria_vallesiana",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",36,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Linum_trigynum",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T18",36,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Scorzonera_angustifolia",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",37,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Asphodelus_cerasiferus",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",37,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Brachypodium_retusum",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",37,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Centaurea_linifolia",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",37,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Dactylis_glomerata",0,"browsing semi-cuantitative index","Número de altura de herbáceas no se lee bien",""
"valencia","scrub","control_high","T19",37,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Linum_narbonense",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",37,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Stipa_offneri",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",37,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Teucrium_chamaedrys",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",37,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Teucrium_pseudochamaepitys",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",38,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Aphyllanthes_monspeliensis",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",38,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Asphodelus_cerasiferus",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",38,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Avenula_bromoides",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",38,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Carex_humilis",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",38,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Gladiolus_communis",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",38,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Stipa_offneri",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",38,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Teucrium_gnaphalodes",0,"browsing semi-cuantitative index",NA,""
"valencia","scrub","control_high","T19",39,2022,2022-06-01,"vegetation","herbaceous_browsing_degree","Allium_sphaerocephalum",0,"browsing semi-cuantitative index",NA,""
