"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","scrub","hyper",NA,"pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.66679624768768,"intercept",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,-0.359988508898985,"intercept",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,2.08419981036094,"intercept",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_4",2021,"2021_06_27","invertebrates","size_spectra",NA,2.90879148273297,"intercept",NA,"QMdAPF4_44374"
"toledo","scrub","hyper",NA,"pitfall_5",2021,"2021_06_27","invertebrates","size_spectra",NA,3.76447997138952,"intercept",NA,"QMdAPF5_44374"
"toledo","scrub","hyper",NA,"pitfall_6",2021,"2021_06_27","invertebrates","size_spectra",NA,0.598958715112228,"intercept",NA,"QMdAPF6_44374"
"toledo","scrub","hyper",NA,"pitfall_7",2021,"2021_06_27","invertebrates","size_spectra",NA,0.732858630479535,"intercept",NA,"QMdAPF7_44374"
"toledo","scrub","hyper",NA,"pitfall_8",2021,"2021_06_27","invertebrates","size_spectra",NA,1.51336529765841,"intercept",NA,"QMdAPF8_44374"
"toledo","scrub","hyper",NA,"pitfall_9",2021,"2021_06_27","invertebrates","size_spectra",NA,1.1710828898193,"intercept",NA,"QMdAPF9_44374"
"toledo","scrub","hyper",NA,"pitfall_10",2021,"2021_06_27","invertebrates","size_spectra",NA,0.903688638330294,"intercept",NA,"QMdAPF10_44374"
"toledo","scrub","hyper",NA,"pitfall_11",2021,"2021_06_27","invertebrates","size_spectra",NA,2.9752415256964,"intercept",NA,"QMdAPF11_44374"
"toledo","scrub","hyper",NA,"pitfall_12",2021,"2021_06_27","invertebrates","size_spectra",NA,1.18149025239308,"intercept",NA,"QMdAPF12_44374"
"toledo","forest","hyper","track_16","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,2.57688709926741,"intercept",NA,"QMdAT16PF1_44374"
"toledo","forest","hyper","track_16","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,1.90704014232669,"intercept",NA,"QMdAT16PF2_44374"
"toledo","forest","hyper","track_16","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,2.1474806167663,"intercept",NA,"QMdAT16PF3_44374"
"toledo","forest","hyper","track_66","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.76274521405411,"intercept",NA,"QMdAT66PF1_44374"
"toledo","forest","hyper","track_66","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,1.60084628783417,"intercept",NA,"QMdAT66PF2_44374"
"toledo","forest","hyper","track_66","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,2.02139489633597,"intercept",NA,"QMdAT66PF3_44374"
"toledo","scrub","high",NA,"pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,4.32116048372222,"intercept",NA,"QMdBPF1_44374"
"toledo","scrub","high",NA,"pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,0.32290677001607,"intercept",NA,"QMdBPF2_44374"
"toledo","scrub","high",NA,"pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,1.69637525425363,"intercept",NA,"QMdBPF3_44374"
"toledo","scrub","high",NA,"pitfall_4",2021,"2021_06_27","invertebrates","size_spectra",NA,1.87153259856314,"intercept",NA,"QMdBPF4_44374"
"toledo","scrub","high",NA,"pitfall_5",2021,"2021_06_27","invertebrates","size_spectra",NA,0.832667105614633,"intercept",NA,"QMdBPF5_44374"
"toledo","scrub","high",NA,"pitfall_6",2021,"2021_06_27","invertebrates","size_spectra",NA,1.71355933795757,"intercept",NA,"QMdBPF6_44374"
"toledo","scrub","high",NA,"pitfall_7",2021,"2021_06_27","invertebrates","size_spectra",NA,2.20478826409942,"intercept",NA,"QMdBPF7_44374"
"toledo","scrub","high",NA,"pitfall_8",2021,"2021_06_27","invertebrates","size_spectra",NA,5.0792000548113,"intercept",NA,"QMdBPF8_44374"
"toledo","scrub","high",NA,"pitfall_9",2021,"2021_06_27","invertebrates","size_spectra",NA,2.64899975867506,"intercept",NA,"QMdBPF9_44374"
"toledo","scrub","high",NA,"pitfall_10",2021,"2021_06_27","invertebrates","size_spectra",NA,1.8743841268636,"intercept",NA,"QMdBPF10_44374"
"toledo","scrub","high",NA,"pitfall_11",2021,"2021_06_27","invertebrates","size_spectra",NA,-0.128702137698601,"intercept",NA,"QMdBPF11_44374"
"toledo","scrub","high",NA,"pitfall_12",2021,"2021_06_27","invertebrates","size_spectra",NA,2.60280069745436,"intercept",NA,"QMdBPF12_44374"
"toledo","forest","high","track_12","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,3.83429841643356,"intercept",NA,"QMdBT12PF1_44374"
"toledo","forest","high","track_12","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,1.37217893781733,"intercept",NA,"QMdBT12PF2_44374"
"toledo","forest","high","track_12","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,0.868097805992817,"intercept",NA,"QMdBT12PF3_44374"
"toledo","forest","high","track_14","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.34854536514898,"intercept",NA,"QMdBT14PF1_44374"
"toledo","forest","high","track_14","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,2.31152719281666,"intercept",NA,"QMdBT14PF2_44374"
"toledo","forest","high","track_14","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,3.30234543071892,"intercept",NA,"QMdBT14PF3_44374"
"toledo","scrub","control",NA,"pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,2.37445276865859,"intercept",NA,"QMdCPF1_44374"
"toledo","scrub","control",NA,"pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,3.11832039681489,"intercept",NA,"QMdCPF2_44374"
"toledo","scrub","control",NA,"pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,0.906057725563488,"intercept",NA,"QMdCPF3_44374"
"toledo","scrub","control",NA,"pitfall_4",2021,"2021_06_27","invertebrates","size_spectra",NA,2.02204863484327,"intercept",NA,"QMdCPF4_44374"
"toledo","scrub","control",NA,"pitfall_5",2021,"2021_06_27","invertebrates","size_spectra",NA,0.842238379333548,"intercept",NA,"QMdCPF5_44374"
"toledo","scrub","control",NA,"pitfall_6",2021,"2021_06_27","invertebrates","size_spectra",NA,2.13654614403785,"intercept",NA,"QMdCPF6_44374"
"toledo","scrub","control",NA,"pitfall_7",2021,"2021_06_27","invertebrates","size_spectra",NA,-1.62513649609477,"intercept",NA,"QMdCPF7_44374"
"toledo","scrub","control",NA,"pitfall_8",2021,"2021_06_27","invertebrates","size_spectra",NA,1.40444492671029,"intercept",NA,"QMdCPF8_44374"
"toledo","scrub","control",NA,"pitfall_9",2021,"2021_06_27","invertebrates","size_spectra",NA,0.567714274815237,"intercept",NA,"QMdCPF9_44374"
"toledo","scrub","control",NA,"pitfall_10",2021,"2021_06_27","invertebrates","size_spectra",NA,2.60233559278513,"intercept",NA,"QMdCPF10_44374"
"toledo","scrub","control",NA,"pitfall_11",2021,"2021_06_27","invertebrates","size_spectra",NA,3.10628415587779,"intercept",NA,"QMdCPF11_44374"
"toledo","scrub","control",NA,"pitfall_12",2021,"2021_06_27","invertebrates","size_spectra",NA,2.76894322577477,"intercept",NA,"QMdCPF12_44374"
"toledo","forest","control","track_6","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.62813094422166,"intercept",NA,"QMdCT6PF1_44374"
"toledo","forest","control","track_6","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,2.32545589490291,"intercept",NA,"QMdCT6PF2_44374"
"toledo","forest","control","track_6","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,0.697762326881467,"intercept",NA,"QMdCT6PF3_44374"
"toledo","forest","control","track_8","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,2.71726814686639,"intercept",NA,"QMdCT8PF1_44374"
"toledo","forest","control","track_8","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,-0.777050577591924,"intercept",NA,"QMdCT8PF2_44374"
"toledo","forest","control","track_8","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,2.19792241696018,"intercept",NA,"QMdCT8PF3_44374"
"valencia",NA,"hyper","track_1","pitfall_1",2021,"2021_06_28","invertebrates","size_spectra",NA,1.30066398287221,"intercept",NA,"MCdAT1PF1_44375"
"valencia",NA,"hyper","track_1","pitfall_2",2021,"2021_06_28","invertebrates","size_spectra",NA,0.504854444759493,"intercept",NA,"MCdAT1PF2_44375"
"valencia",NA,"hyper","track_1","pitfall_3",2021,"2021_06_28","invertebrates","size_spectra",NA,-4.03551185256403,"intercept",NA,"MCdAT1PF3_44375"
"valencia",NA,"hyper","track_2","pitfall_1",2021,"2021_06_28","invertebrates","size_spectra",NA,1.11107114047473,"intercept",NA,"MCdAT2PF1_44375"
"valencia",NA,"hyper","track_2","pitfall_2",2021,"2021_06_28","invertebrates","size_spectra",NA,0.279200828176716,"intercept",NA,"MCdAT2PF2_44375"
"valencia",NA,"hyper","track_2","pitfall_3",2021,"2021_06_28","invertebrates","size_spectra",NA,2.77237778956343,"intercept",NA,"MCdAT2PF3_44375"
