"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","scrub","hyper",NA,"pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.17947090758619,"lambda",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,1.37632497636319,"lambda",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,1.16505986876601,"lambda",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_4",2021,"2021_06_27","invertebrates","size_spectra",NA,1.00490026191376,"lambda",NA,"QMdAPF4_44374"
"toledo","scrub","hyper",NA,"pitfall_5",2021,"2021_06_27","invertebrates","size_spectra",NA,0.969239364064571,"lambda",NA,"QMdAPF5_44374"
"toledo","scrub","hyper",NA,"pitfall_6",2021,"2021_06_27","invertebrates","size_spectra",NA,1.22369617437449,"lambda",NA,"QMdAPF6_44374"
"toledo","scrub","hyper",NA,"pitfall_7",2021,"2021_06_27","invertebrates","size_spectra",NA,1.30269515724027,"lambda",NA,"QMdAPF7_44374"
"toledo","scrub","hyper",NA,"pitfall_8",2021,"2021_06_27","invertebrates","size_spectra",NA,1.18274536416779,"lambda",NA,"QMdAPF8_44374"
"toledo","scrub","hyper",NA,"pitfall_9",2021,"2021_06_27","invertebrates","size_spectra",NA,1.13470059279498,"lambda",NA,"QMdAPF9_44374"
"toledo","scrub","hyper",NA,"pitfall_10",2021,"2021_06_27","invertebrates","size_spectra",NA,1.21200246383813,"lambda",NA,"QMdAPF10_44374"
"toledo","scrub","hyper",NA,"pitfall_11",2021,"2021_06_27","invertebrates","size_spectra",NA,1.04764187254883,"lambda",NA,"QMdAPF11_44374"
"toledo","scrub","hyper",NA,"pitfall_12",2021,"2021_06_27","invertebrates","size_spectra",NA,1.21673028092629,"lambda",NA,"QMdAPF12_44374"
"toledo","forest","hyper","track_16","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.09693719157822,"lambda",NA,"QMdAT16PF1_44374"
"toledo","forest","hyper","track_16","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,1.11127435182654,"lambda",NA,"QMdAT16PF2_44374"
"toledo","forest","hyper","track_16","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,1.07565491011644,"lambda",NA,"QMdAT16PF3_44374"
"toledo","forest","hyper","track_66","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.15638725228001,"lambda",NA,"QMdAT66PF1_44374"
"toledo","forest","hyper","track_66","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,1.0617380852847,"lambda",NA,"QMdAT66PF2_44374"
