"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","scrub","hyper",NA,"pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.87159362152049,"trophic_eff",NA,"QMdAPF1_44374"
"toledo","scrub","hyper",NA,"pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,1.50760752373411,"trophic_eff",NA,"QMdAPF2_44374"
"toledo","scrub","hyper",NA,"pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,1.90146076850958,"trophic_eff",NA,"QMdAPF3_44374"
"toledo","scrub","hyper",NA,"pitfall_4",2021,"2021_06_27","invertebrates","size_spectra",NA,2.26726833124242,"trophic_eff",NA,"QMdAPF4_44374"
"toledo","scrub","hyper",NA,"pitfall_5",2021,"2021_06_27","invertebrates","size_spectra",NA,2.35785717326678,"trophic_eff",NA,"QMdAPF5_44374"
"toledo","scrub","hyper",NA,"pitfall_6",2021,"2021_06_27","invertebrates","size_spectra",NA,1.78283331783923,"trophic_eff",NA,"QMdAPF6_44374"
"toledo","scrub","hyper",NA,"pitfall_7",2021,"2021_06_27","invertebrates","size_spectra",NA,1.63462692361487,"trophic_eff",NA,"QMdAPF7_44374"
"toledo","scrub","hyper",NA,"pitfall_8",2021,"2021_06_27","invertebrates","size_spectra",NA,1.86487292441084,"trophic_eff",NA,"QMdAPF8_44374"
"toledo","scrub","hyper",NA,"pitfall_9",2021,"2021_06_27","invertebrates","size_spectra",NA,1.96594980520192,"trophic_eff",NA,"QMdAPF9_44374"
"toledo","scrub","hyper",NA,"pitfall_10",2021,"2021_06_27","invertebrates","size_spectra",NA,1.8058848702773,"trophic_eff",NA,"QMdAPF10_44374"
"toledo","scrub","hyper",NA,"pitfall_11",2021,"2021_06_27","invertebrates","size_spectra",NA,2.16326633121264,"trophic_eff",NA,"QMdAPF11_44374"
"toledo","scrub","hyper",NA,"pitfall_12",2021,"2021_06_27","invertebrates","size_spectra",NA,1.79652935321294,"trophic_eff",NA,"QMdAPF12_44374"
"toledo","forest","hyper","track_16","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,2.04922736421868,"trophic_eff",NA,"QMdAT16PF1_44374"
"toledo","forest","hyper","track_16","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,2.01720289458409,"trophic_eff",NA,"QMdAT16PF2_44374"
"toledo","forest","hyper","track_16","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,2.09770481659003,"trophic_eff",NA,"QMdAT16PF3_44374"
"toledo","forest","hyper","track_66","pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,1.91966417013947,"trophic_eff",NA,"QMdAT66PF1_44374"
"toledo","forest","hyper","track_66","pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,2.13002346763249,"trophic_eff",NA,"QMdAT66PF2_44374"
"toledo","forest","hyper","track_66","pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,2.21668077432363,"trophic_eff",NA,"QMdAT66PF3_44374"
"toledo","scrub","high",NA,"pitfall_1",2021,"2021_06_27","invertebrates","size_spectra",NA,2.74140396624958,"trophic_eff",NA,"QMdBPF1_44374"
"toledo","scrub","high",NA,"pitfall_2",2021,"2021_06_27","invertebrates","size_spectra",NA,1.88823258746414,"trophic_eff",NA,"QMdBPF2_44374"
"toledo","scrub","high",NA,"pitfall_3",2021,"2021_06_27","invertebrates","size_spectra",NA,2.03342495790804,"trophic_eff",NA,"QMdBPF3_44374"
