"site","treatment","track","point","year","Riqueza","Shannon","Simpson","Abundancia"
"toledo","control","T6","P1",2021,10,6.86025724329944,5.86961946350593,97
"toledo","control","T6","P1",2022,10,6.36721151461826,5.37313432835821,60
"toledo","control","T6","P2",2021,11,6.95885691129654,5.84494382022472,102
"toledo","control","T6","P2",2022,5,2.57381203511485,2.00647074683203,122
"toledo","control","T6","P3",2021,12,4.74076484349324,3.01174616817075,145
"toledo","control","T6","P3",2022,5,3.85676036636559,3.35068153655514,104
"toledo","control","T8","P1",2021,12,6.86425744038032,5.14992870238338,159
"toledo","control","T8","P1",2022,7,3.93233324353409,2.91390134529148,57
"toledo","control","T8","P2",2021,10,4.29889993427382,2.74324636342646,109
"toledo","control","T8","P2",2022,6,3.46817367199722,2.63926940639269,34
"toledo","control","T8","P3",2021,13,6.54114456108332,4.8646080760095,128
"toledo","control","T8","P3",2022,8,6.64450790782806,5.64429530201342,29
"toledo","control","T97","P1",2021,6,3.2403472379977,2.64467766116942,84
"toledo","control","T97","P1",2022,7,3.63387065993801,2.36943907156673,35
"toledo","control","T97","P10",2021,11,4.72917170262349,3.4749498997996,102
"toledo","control","T97","P10",2022,5,1.9162486135579,1.42027397260274,72
"toledo","control","T97","P11",2021,11,5.30013949804632,3.57042253521127,78
"toledo","control","T97","P11",2022,12,3.15788243227114,1.78260869565217,82
"toledo","control","T97","P12",2021,14,4.1474774563297,2.87262240765738,153
"toledo","control","T97","P12",2022,10,2.65879343388703,1.6703213610586,94
"toledo","control","T97","P2",2021,6,4.19706719680177,3.47266775777414,103
"toledo","control","T97","P2",2022,6,2.07126761758278,1.44625967325881,58
"toledo","control","T97","P3",2021,9,4.13778775076969,3.11785462244178,94
"toledo","control","T97","P3",2022,5,2.62963686291823,1.88372093023256,45
"toledo","control","T97","P4",2021,10,3.82424920925273,2.27667984189723,48
"toledo","control","T97","P4",2022,6,2.40865899341574,1.64429530201342,35
"toledo","control","T97","P5",2021,11,6.55386556853769,5.16013925152306,77
"toledo","control","T97","P5",2022,9,2.34479601247626,1.49037864680323,49
"toledo","control","T97","P6",2021,11,4.42421739414888,3.2732649156375,194
"toledo","control","T97","P6",2022,9,2.76188115240855,1.73493975903614,48
"toledo","control","T97","P7",2021,9,3.53597717325951,2.61993769470405,174
"toledo","control","T97","P7",2022,9,2.96213090632663,1.8703196347032,64
"toledo","control","T97","P8",2021,10,4.42377923874958,3.15955325089749,89
"toledo","control","T97","P8",2022,5,1.63809954750697,1.26372524442216,71
"toledo","control","T97","P9",2021,10,3.27144064079361,2.45367412140575,192
"toledo","control","T97","P9",2022,10,3.67424131982551,2.37981615489928,156
"toledo","high","T12","P1",2021,10,5.02749589337696,3.89202594429607,101
"toledo","high","T12","P1",2022,11,5.27409901460077,3.53722978382706,94
"toledo","high","T12","P2",2021,9,4.47944696148094,3.366464539942,113
"toledo","high","T12","P2",2022,11,4.50747675748473,3.22085889570552,105
"toledo","high","T12","P3",2021,8,5.07563421000299,4.15673644659152,176
"toledo","high","T12","P3",2022,13,6.00615658926689,3.94851945035804,202
"toledo","high","T14","P1",2021,9,5.856540289481,4.82781456953642,81
"toledo","high","T14","P1",2022,10,7.32095687597898,6.25444512568976,101
"toledo","high","T14","P2",2021,11,6.12905828470012,4.50883697935978,191
"toledo","high","T14","P2",2022,12,7.80016773762534,5.97335344394168,109
"toledo","high","T14","P3",2021,8,4.48006545887799,3.31223267750214,88
"toledo","high","T14","P3",2022,17,4.90677141181936,2.82079096045198,158
"toledo","high","T98","P1",2021,7,3.28216017008259,2.60568997607019,140
"toledo","high","T98","P1",2022,10,5.91903187751521,4.25569620253165,82
"toledo","high","T98","P10",2021,7,4.20966943304693,3.13913043478261,57
"toledo","high","T98","P10",2022,7,2.54892114698317,1.71655975291043,85
"toledo","high","T98","P11",2021,10,3.32929926440636,2.42372249160761,114
"toledo","high","T98","P11",2022,6,4.45996141459199,3.65978790484379,113
"toledo","high","T98","P12",2021,9,3.73717679224781,2.779776043434,128
"toledo","high","T98","P12",2022,11,4.81277187245285,3.76041666666667,152
"toledo","high","T98","P2",2021,9,3.72301445009983,2.78738170347003,94
"toledo","high","T98","P2",2022,10,2.78715592369803,1.73163808397398,121
"toledo","high","T98","P3",2021,10,4.50794631312093,3.53594389246055,110
"toledo","high","T98","P3",2022,8,4.54817785535342,3.6359102244389,54
"toledo","high","T98","P4",2021,11,4.71697606891457,3.37552742616034,80
"toledo","high","T98","P4",2022,9,4.68179827907978,3.5120532003325,65
"toledo","high","T98","P5",2021,8,3.69434668278006,2.84578601315003,69
"toledo","high","T98","P5",2022,8,2.27923944498693,1.5003663003663,64
"toledo","high","T98","P6",2021,8,3.9124404485576,3.05510631925726,101
"toledo","high","T98","P6",2022,8,3.68373596548438,2.38207368021269,112
"toledo","high","T98","P7",2021,10,3.13805435094383,2.14074074074074,119
"toledo","high","T98","P7",2022,10,5.29794159946131,3.29864253393665,54
"toledo","high","T98","P8",2021,6,3.19008541155999,2.39114391143911,72
"toledo","high","T98","P8",2022,10,1.4616656177778,1.15410685560617,531
"toledo","high","T98","P9",2021,5,2.78439970137236,2.00216567406605,86
"toledo","high","T98","P9",2022,8,3.94854084725979,2.65150620200827,67
"toledo","hyper","T16","P1",2021,12,6.1996251905661,4.93692575117954,141
"toledo","hyper","T16","P1",2022,11,5.79491810398992,4.01079414032382,102
"toledo","hyper","T16","P2",2021,10,5.7250155314528,4.33753581661891,87
"toledo","hyper","T16","P2",2022,11,5.69363612572993,3.78947368421053,84
"toledo","hyper","T16","P3",2021,9,3.96199320925685,3.04422147900409,128
"toledo","hyper","T16","P3",2022,10,3.8430601932571,2.57691097829506,128
"toledo","hyper","T66","P1",2021,10,3.57622873030162,2.35955056179775,210
"toledo","hyper","T66","P1",2022,10,3.02341995584408,2.05002506265664,143
"toledo","hyper","T66","P2",2021,8,4.80774385834366,4.03546798029557,128
"toledo","hyper","T66","P2",2022,10,5.08003024055379,3.23298969072165,56
"toledo","hyper","T66","P3",2021,9,5.48009624949619,4.30794484569928,81
"toledo","hyper","T66","P3",2022,11,4.99392379846179,2.92511700468019,75
"toledo","hyper","T99","P1",2021,7,2.90255674583897,2.48838752488388,150
"toledo","hyper","T99","P1",2022,9,3.59128094877576,2.419945105215,115
"toledo","hyper","T99","P10",2021,10,2.90126621734819,2.21286370597243,170
"toledo","hyper","T99","P10",2022,7,2.39302963987199,1.88943408570494,152
"toledo","hyper","T99","P11",2021,8,2.5643127185414,2.20334126560148,213
