"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"valencia",NA,"control_high",NA,"trap_1","2021",NA,"taxonomy","micrommammal","apodemus_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_1","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_2","2021",NA,"taxonomy","micrommammal","apodemus_sp",2,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_2","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_3","2021",NA,"taxonomy","micrommammal","apodemus_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_3","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_4","2021",NA,"taxonomy","micrommammal","apodemus_sp",2,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_4","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_5","2021",NA,"taxonomy","micrommammal","apodemus_sp",1,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_5","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_6","2021",NA,"taxonomy","micrommammal","apodemus_sp",1,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_6","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_7","2021",NA,"taxonomy","micrommammal","apodemus_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_7","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_8","2021",NA,"taxonomy","micrommammal","apodemus_sp",1,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_8","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_9","2021",NA,"taxonomy","micrommammal","apodemus_sp",1,"n_individuals",NA,NA
"valencia",NA,"control_high",NA,"trap_9","2021",NA,"taxonomy","micrommammal","sorex_sp",0,"n_individuals",NA,NA
