"site","year","treatment","track","species","sampling_unit","observation"
"toledo",2021,"control",6,"Quercus pyrenaica","toledo/2021/control/6",9
"toledo",2021,"control",6,"Quercus faginea","toledo/2021/control/6",6
"toledo",2021,"control",6,"Sorbus torminalis","toledo/2021/control/6",1
"toledo",2021,"control",6,"Erica arborea","toledo/2021/control/6",5
"toledo",2021,"control",7,"Quercus faginea","toledo/2021/control/7",13
"toledo",2021,"control",7,"Quercus pyrenaica","toledo/2021/control/7",10
"toledo",2021,"control",7,"Phillyrea angustifolia","toledo/2021/control/7",1
"toledo",2021,"control",7,"Crataegus monogyna","toledo/2021/control/7",1
"toledo",2021,"control",8,"Quercus pyrenaica","toledo/2021/control/8",21
"toledo",2021,"control",8,"Arbutus unedo","toledo/2021/control/8",19
"toledo",2021,"control",8,"Quercus faginea","toledo/2021/control/8",7
"toledo",2021,"control",8,"Rubus ulmifolius","toledo/2021/control/8",1
"toledo",2021,"control",8,"Cistus ladanifer","toledo/2021/control/8",1
"toledo",2021,"control",9,"Quercus faginea","toledo/2021/control/9",60
"toledo",2021,"control",9,"Phillyrea angustifolia","toledo/2021/control/9",8
"toledo",2021,"control",9,"Quercus ilex","toledo/2021/control/9",2
"toledo",2021,"control",9,"Quercus pyrenaica","toledo/2021/control/9",1
"toledo",2021,"control",9,"Cistus ladanifer","toledo/2021/control/9",1
"toledo",2021,"control",10,"Quercus pyrenaica","toledo/2021/control/10",13
"toledo",2021,"control",10,"Quercus faginea","toledo/2021/control/10",9
"toledo",2021,"control",10,"Erica scoparia","toledo/2021/control/10",1
"toledo",2021,"high",11,"Quercus faginea","toledo/2021/high/11",10
"toledo",2021,"high",11,"Arbutus unedo","toledo/2021/high/11",1
"toledo",2021,"high",11,"Quercus ilex","toledo/2021/high/11",5
"toledo",2021,"high",11,"Quercus pyrenaica","toledo/2021/high/11",7
"toledo",2021,"high",11,"Cistus ladanifer","toledo/2021/high/11",5
"toledo",2021,"high",11,"Rosmarinus officinalis","toledo/2021/high/11",5
"toledo",2021,"high",11,"Erica arborea","toledo/2021/high/11",2
"toledo",2021,"high",12,"Quercus pyrenaica","toledo/2021/high/12",17
"toledo",2021,"high",12,"Quercus faginea","toledo/2021/high/12",2
"toledo",2021,"high",12,"Arbutus unedo","toledo/2021/high/12",5
"toledo",2021,"high",12,"Rosmarinus officinalis","toledo/2021/high/12",3
"toledo",2021,"high",13,"Quercus faginea","toledo/2021/high/13",11
"toledo",2021,"high",13,"Quercus pyrenaica","toledo/2021/high/13",1
"toledo",2021,"high",13,"Quercus ilex","toledo/2021/high/13",2
"toledo",2021,"high",13,"Phillyrea angustifolia","toledo/2021/high/13",1
"toledo",2021,"high",14,"Quercus pyrenaica","toledo/2021/high/14",24
