"site","habitat","treatment","sampling_unit","indice","valor"
"toledo","Q-C-Bosque T6 pf1 22-27.vi-21","control","pf1_Q-C-Bosque T6 pf1 22-27.vi-21","delta_braycurtis",1
"toledo","Q-C-Bosque T8 pf1 22-27.vi-21","control","pf1_Q-C-Bosque T8 pf1 22-27.vi-21","delta_braycurtis",1
"toledo","Q-C-Bosque T6 pf2 22-27.vi-21","control","pf2_Q-C-Bosque T6 pf2 22-27.vi-21","delta_braycurtis",1
"toledo","Q-C-Bosque T8 pf2 22-27.vi-21","control","pf2_Q-C-Bosque T8 pf2 22-27.vi-21","delta_braycurtis",1
"toledo","Q-C-Bosque T6 pf3 22-27.vi-21","control","pf3_Q-C-Bosque T6 pf3 22-27.vi-21","delta_braycurtis",1
"toledo","Q-C-Bosque T8 pf3 22-27.vi-21","control","pf3_Q-C-Bosque T8 pf3 22-27.vi-21","delta_braycurtis",1
"toledo","Q22-C bosque T6 pf1 22-27/06/22","control","pf1_Q22-C bosque T6 pf1 22-27/06/22","delta_braycurtis",1
"toledo","Q22-C bosque T8 pf1 22-27/06/22","control","pf1_Q22-C bosque T8 pf1 22-27/06/22","delta_braycurtis",1
"toledo","Q22-C bosque T6 pf2 22-27/06/22","control","pf2_Q22-C bosque T6 pf2 22-27/06/22","delta_braycurtis",1
"toledo","Q22-C bosque T8 pf2 22-27/06/22","control","pf2_Q22-C bosque T8 pf2 22-27/06/22","delta_braycurtis",1
"toledo","Q22-C bosque T6 pf3 22-27/06/22","control","pf3_Q22-C bosque T6 pf3 22-27/06/22","delta_braycurtis",1
"toledo","Q22-C bosque T8 pf3 22-27/06/22","control","pf3_Q22-C bosque T8 pf3 22-27/06/22","delta_braycurtis",1
"toledo","Q-dB-Bosque T12 pf1 22-27.vi-21","high","pf1_Q-dB-Bosque T12 pf1 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dB-Bosque T14 pf1 22-27.vi-21","high","pf1_Q-dB-Bosque T14 pf1 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dB-Bosque T12 pf2 22-27.vi-21","high","pf2_Q-dB-Bosque T12 pf2 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dB-Bosque T14 pf2 22-27.vi-21","high","pf2_Q-dB-Bosque T14 pf2 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dB-Bosque T12 pf3 22-27.vi-21","high","pf3_Q-dB-Bosque T12 pf3 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dB-Bosque T14 pf3 22-27.vi-21","high","pf3_Q-dB-Bosque T14 pf3 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dA-Bosque T16 pf1 22-27.vi-21","hyper","pf1_Q-dA-Bosque T16 pf1 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dA-Bosque T66 pf1 22-27.vi-21","hyper","pf1_Q-dA-Bosque T66 pf1 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dA-Bosque T16 pf2 22-27.vi-21","hyper","pf2_Q-dA-Bosque T16 pf2 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dA-Bosque T66 pf2 22-27.vi-21","hyper","pf2_Q-dA-Bosque T66 pf2 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dA-Bosque T16 pf3 22-27.vi-21","hyper","pf3_Q-dA-Bosque T16 pf3 22-27.vi-21","delta_braycurtis",1
"toledo","Q-dA-Bosque T66 pf3 22-27.vi-21","hyper","pf3_Q-dA-Bosque T66 pf3 22-27.vi-21","delta_braycurtis",1
"toledo","Q-C pf1 22-27.vi.21","control","pf1_Q-C pf1 22-27.vi.21","delta_braycurtis",1
"toledo","Q-C pf10 22-27.vi.21","control","pf10_Q-C pf10 22-27.vi.21","delta_braycurtis",1
"toledo","Q-C pf11 22-27.vi.21","control","pf11_Q-C pf11 22-27.vi.21","delta_braycurtis",1
"toledo","Q-C pf12 22-27.vi.21","control","pf12_Q-C pf12 22-27.vi.21","delta_braycurtis",1
"toledo","Q-C pf2 22-27.vi.21","control","pf2_Q-C pf2 22-27.vi.21","delta_braycurtis",1
"toledo","Q-C pf3 22-27.vi.21","control","pf3_Q-C pf3 22-27.vi.21","delta_braycurtis",1
"toledo","Q-C pf4 22-27.vi.21","control","pf4_Q-C pf4 22-27.vi.21","delta_braycurtis",1
