"site","habitat","treatment","sampling_unit","indice","valor"
"toledo","forest","control","212022_42021","delta_riqueza",2
"toledo","forest","control","212022_42021","delta_shannon",1.63587647914603
"toledo","forest","control","212022_42021","delta_simpson",1.10669975186104
"toledo","forest","control","212022_42021","delta_abundancia",-2
"toledo","forest","control","332022_42021","delta_riqueza",-1
"toledo","forest","control","332022_42021","delta_shannon",-1.1574291325112
"toledo","forest","control","332022_42021","delta_simpson",-1.29846153846154
"toledo","forest","control","332022_42021","delta_abundancia",2
"toledo","forest","control","212022_62021","delta_riqueza",6
"toledo","forest","control","212022_62021","delta_shannon",4.61452729611958
"toledo","forest","control","212022_62021","delta_simpson",3.55425219941349
"toledo","forest","control","212022_62021","delta_abundancia",8
"toledo","forest","control","332022_62021","delta_riqueza",3
"toledo","forest","control","332022_62021","delta_shannon",1.82122168446235
"toledo","forest","control","332022_62021","delta_simpson",1.14909090909091
"toledo","forest","control","332022_62021","delta_abundancia",12
"toledo","forest","high","202022_22021","delta_riqueza",-1
"toledo","forest","high","202022_22021","delta_shannon",0.338261194052114
"toledo","forest","high","202022_22021","delta_simpson",1.01520467836257
"toledo","forest","high","202022_22021","delta_abundancia",-8
"toledo","forest","high","292022_22021","delta_riqueza",0
"toledo","forest","high","292022_22021","delta_shannon",0.132097258263974
"toledo","forest","high","292022_22021","delta_simpson",0.204938271604938
"toledo","forest","high","292022_22021","delta_abundancia",-1
"toledo","forest","high","202022_92021","delta_riqueza",2
"toledo","forest","high","202022_92021","delta_shannon",1.97994937367317
"toledo","forest","high","202022_92021","delta_simpson",2.10409356725146
"toledo","forest","high","202022_92021","delta_abundancia",1
"toledo","forest","high","292022_92021","delta_riqueza",3
"toledo","forest","high","292022_92021","delta_shannon",1.77378543788503
"toledo","forest","high","292022_92021","delta_simpson",1.29382716049383
"toledo","forest","high","292022_92021","delta_abundancia",8
"toledo","forest","hyper","192022_12021","delta_riqueza",1
"toledo","forest","hyper","192022_12021","delta_shannon",0.843042523611696
"toledo","forest","hyper","192022_12021","delta_simpson",0.571428571428571
