"site","habitat","treatment","sampling_unit","indice","valor"
"toledo","forest","control","T10_1","delta_abundancia",40
"toledo","forest","control","T10_1","delta_riqueza",4
"toledo","forest","control","T10_1","delta_shannon",2.21931238010102
"toledo","forest","control","T10_1","delta_simpson",1.39118065433855
"toledo","forest","control","T10_2","delta_abundancia",-1
"toledo","forest","control","T10_2","delta_riqueza",0
"toledo","forest","control","T10_2","delta_shannon",-0.59513514132512
"toledo","forest","control","T10_2","delta_simpson",-0.600367006147353
"toledo","forest","control","T10_3","delta_abundancia",41
"toledo","forest","control","T10_3","delta_riqueza",0
"toledo","forest","control","T10_3","delta_shannon",-1.68689772698576
"toledo","forest","control","T10_3","delta_simpson",-1.98213860442963
"toledo","forest","control","T6_1","delta_abundancia",13
"toledo","forest","control","T6_1","delta_riqueza",2
"toledo","forest","control","T6_1","delta_shannon",1.52772781329406
"toledo","forest","control","T6_1","delta_simpson",1.20889555222389
"toledo","forest","control","T6_2","delta_abundancia",19
"toledo","forest","control","T6_2","delta_riqueza",3
"toledo","forest","control","T6_2","delta_shannon",1.69042656665442
"toledo","forest","control","T6_2","delta_simpson",1.225
"toledo","forest","control","T6_3","delta_abundancia",18
"toledo","forest","control","T6_3","delta_riqueza",4
"toledo","forest","control","T6_3","delta_shannon",3.13826368152481
"toledo","forest","control","T6_3","delta_simpson",2.61271676300578
"toledo","forest","control","T7_1","delta_abundancia",24
"toledo","forest","control","T7_1","delta_riqueza",7
"toledo","forest","control","T7_1","delta_shannon",4.10176614511495
"toledo","forest","control","T7_1","delta_simpson",2.74675297730196
"toledo","forest","control","T7_2","delta_abundancia",10
"toledo","forest","control","T7_2","delta_riqueza",-7
"toledo","forest","control","T7_2","delta_shannon",-5.92621788100959
"toledo","forest","control","T7_2","delta_simpson",-4.71256082176969
"toledo","forest","control","T7_3","delta_abundancia",8
"toledo","forest","control","T7_3","delta_riqueza",2
"toledo","forest","control","T7_3","delta_shannon",1.02206750638121
"toledo","forest","control","T7_3","delta_simpson",0.505359671003843
"toledo","forest","control","T8_1","delta_abundancia",21
"toledo","forest","control","T8_1","delta_riqueza",1
"toledo","forest","control","T8_1","delta_shannon",-0.263119261678519
"toledo","forest","control","T8_1","delta_simpson",-0.471225731671979
"toledo","forest","control","T8_2","delta_abundancia",66
"toledo","forest","control","T8_2","delta_riqueza",-3
"toledo","forest","control","T8_2","delta_shannon",-5.35998001820159
"toledo","forest","control","T8_2","delta_simpson",-5.73386034255599
"toledo","forest","control","T8_3","delta_abundancia",6
"toledo","forest","control","T8_3","delta_riqueza",6
"toledo","forest","control","T8_3","delta_shannon",7.66019140995947
"toledo","forest","control","T8_3","delta_simpson",6.948349106204
"toledo","forest","control","T9_1","delta_abundancia",-41
"toledo","forest","control","T9_1","delta_riqueza",0
"toledo","forest","control","T9_1","delta_shannon",3.14242596294721
"toledo","forest","control","T9_1","delta_simpson",2.85266938964688
"toledo","forest","control","T9_2","delta_abundancia",17
"toledo","forest","control","T9_2","delta_riqueza",2
"toledo","forest","control","T9_2","delta_shannon",5.62599916821633
"toledo","forest","control","T9_2","delta_simpson",4.8720987270291
"toledo","forest","control","T9_3","delta_abundancia",33
"toledo","forest","control","T9_3","delta_riqueza",3
"toledo","forest","control","T9_3","delta_shannon",-0.148763485144221
"toledo","forest","control","T9_3","delta_simpson",-1.79238095238095
"toledo","forest","high","T11_1","delta_abundancia",27
"toledo","forest","high","T11_1","delta_riqueza",6
"toledo","forest","high","T11_1","delta_shannon",7.9469749251956
"toledo","forest","high","T11_1","delta_simpson",7.3970291662149
"toledo","forest","high","T11_2","delta_abundancia",39
"toledo","forest","high","T11_2","delta_riqueza",2
"toledo","forest","high","T11_2","delta_shannon",1.09811248975569
"toledo","forest","high","T11_2","delta_simpson",0.766221813161529
"toledo","forest","high","T11_3","delta_abundancia",15
"toledo","forest","high","T11_3","delta_riqueza",7
"toledo","forest","high","T11_3","delta_shannon",6.86471228735668
"toledo","forest","high","T11_3","delta_simpson",6.34502369668246
"toledo","forest","high","T12_1","delta_abundancia",5
"toledo","forest","high","T12_1","delta_riqueza",-1
"toledo","forest","high","T12_1","delta_shannon",0.858636882514556
"toledo","forest","high","T12_1","delta_simpson",1.65679012345679
"toledo","forest","high","T12_2","delta_abundancia",-2
"toledo","forest","high","T12_2","delta_riqueza",0
"toledo","forest","high","T12_2","delta_shannon",0.185572767389127
"toledo","forest","high","T12_2","delta_simpson",0.215384615384616
"toledo","forest","high","T12_3","delta_abundancia",-29
"toledo","forest","high","T12_3","delta_riqueza",4
"toledo","forest","high","T12_3","delta_shannon",3.73395297330449
"toledo","forest","high","T12_3","delta_simpson",3.32687955745537
"toledo","forest","high","T13_1","delta_abundancia",26
"toledo","forest","high","T13_1","delta_riqueza",7
"toledo","forest","high","T13_1","delta_shannon",5.96638268523111
"toledo","forest","high","T13_1","delta_simpson",5.23076923076923
"toledo","forest","high","T13_2","delta_abundancia",3
"toledo","forest","high","T13_2","delta_riqueza",3
"toledo","forest","high","T13_2","delta_shannon",1.9044910147564
"toledo","forest","high","T13_2","delta_simpson",1.47291679592976
"toledo","forest","high","T13_3","delta_abundancia",39
"toledo","forest","high","T13_3","delta_riqueza",10
"toledo","forest","high","T13_3","delta_shannon",6.60554375565917
"toledo","forest","high","T13_3","delta_simpson",4.55555555555556
"toledo","forest","high","T14_1","delta_abundancia",-2
"toledo","forest","high","T14_1","delta_riqueza",-1
"toledo","forest","high","T14_1","delta_shannon",-1
"toledo","forest","high","T14_1","delta_simpson",-1
"toledo","forest","high","T14_2","delta_abundancia",-5
"toledo","forest","high","T14_2","delta_riqueza",-4
"toledo","forest","high","T14_2","delta_shannon",-3.789291416276
"toledo","forest","high","T14_2","delta_simpson",-3.57142857142857
"toledo","forest","high","T14_3","delta_abundancia",8
