"site","habitat","treatment","sampling_unit","indice","valor"
"toledo",NA,"control","T6_P1","delta_abundancia",-37
"toledo",NA,"control","T6_P1","delta_riqueza",0
"toledo",NA,"control","T6_P1","delta_shannon",-0.493045728681184
"toledo",NA,"control","T6_P1","delta_simpson",-0.496485135147719
"toledo",NA,"control","T6_P2","delta_abundancia",20
"toledo",NA,"control","T6_P2","delta_riqueza",-6
"toledo",NA,"control","T6_P2","delta_shannon",-4.38504487618169
"toledo",NA,"control","T6_P2","delta_simpson",-3.83847307339269
"toledo",NA,"control","T6_P3","delta_abundancia",-41
"toledo",NA,"control","T6_P3","delta_riqueza",-7
"toledo",NA,"control","T6_P3","delta_shannon",-0.884004477127653
"toledo",NA,"control","T6_P3","delta_simpson",0.338935368384393
"toledo",NA,"control","T8_P1","delta_abundancia",-102
"toledo",NA,"control","T8_P1","delta_riqueza",-5
"toledo",NA,"control","T8_P1","delta_shannon",-2.93192419684623
"toledo",NA,"control","T8_P1","delta_simpson",-2.2360273570919
"toledo",NA,"control","T8_P2","delta_abundancia",-75
"toledo",NA,"control","T8_P2","delta_riqueza",-4
"toledo",NA,"control","T8_P2","delta_shannon",-0.830726262276603
"toledo",NA,"control","T8_P2","delta_simpson",-0.103976957033766
"toledo",NA,"control","T8_P3","delta_abundancia",-99
"toledo",NA,"control","T8_P3","delta_riqueza",-5
"toledo",NA,"control","T8_P3","delta_shannon",0.103363346744738
"toledo",NA,"control","T8_P3","delta_simpson",0.779687226003921
"toledo",NA,"control","T97_P1","delta_abundancia",-49
"toledo",NA,"control","T97_P1","delta_riqueza",1
"toledo",NA,"control","T97_P1","delta_shannon",0.393523421940313
"toledo",NA,"control","T97_P1","delta_simpson",-0.275238589602684
"toledo",NA,"control","T97_P10","delta_abundancia",-30
"toledo",NA,"control","T97_P10","delta_riqueza",-6
"toledo",NA,"control","T97_P10","delta_shannon",-2.81292308906559
"toledo",NA,"control","T97_P10","delta_simpson",-2.05467592719686
"toledo",NA,"control","T97_P11","delta_abundancia",4
"toledo",NA,"control","T97_P11","delta_riqueza",1
"toledo",NA,"control","T97_P11","delta_shannon",-2.14225706577518
"toledo",NA,"control","T97_P11","delta_simpson",-1.78781383955909
"toledo",NA,"control","T97_P12","delta_abundancia",-59
"toledo",NA,"control","T97_P12","delta_riqueza",-4
"toledo",NA,"control","T97_P12","delta_shannon",-1.48868402244268
"toledo",NA,"control","T97_P12","delta_simpson",-1.20230104659878
"toledo",NA,"control","T97_P2","delta_abundancia",-45
"toledo",NA,"control","T97_P2","delta_riqueza",0
"toledo",NA,"control","T97_P2","delta_shannon",-2.12579957921899
"toledo",NA,"control","T97_P2","delta_simpson",-2.02640808451533
"toledo",NA,"control","T97_P3","delta_abundancia",-49
"toledo",NA,"control","T97_P3","delta_riqueza",-4
"toledo",NA,"control","T97_P3","delta_shannon",-1.50815088785146
"toledo",NA,"control","T97_P3","delta_simpson",-1.23413369220922
"toledo",NA,"control","T97_P4","delta_abundancia",-13
"toledo",NA,"control","T97_P4","delta_riqueza",-4
"toledo",NA,"control","T97_P4","delta_shannon",-1.41559021583698
"toledo",NA,"control","T97_P4","delta_simpson",-0.63238453988381
"toledo",NA,"control","T97_P5","delta_abundancia",-28
"toledo",NA,"control","T97_P5","delta_riqueza",-2
"toledo",NA,"control","T97_P5","delta_shannon",-4.20906955606143
"toledo",NA,"control","T97_P5","delta_simpson",-3.66976060471984
"toledo",NA,"control","T97_P6","delta_abundancia",-146
"toledo",NA,"control","T97_P6","delta_riqueza",-2
"toledo",NA,"control","T97_P6","delta_shannon",-1.66233624174033
"toledo",NA,"control","T97_P6","delta_simpson",-1.53832515660136
"toledo",NA,"control","T97_P7","delta_abundancia",-110
"toledo",NA,"control","T97_P7","delta_riqueza",0
"toledo",NA,"control","T97_P7","delta_shannon",-0.573846266932879
"toledo",NA,"control","T97_P7","delta_simpson",-0.749618060000853
"toledo",NA,"control","T97_P8","delta_abundancia",-18
"toledo",NA,"control","T97_P8","delta_riqueza",-5
"toledo",NA,"control","T97_P8","delta_shannon",-2.78567969124261
"toledo",NA,"control","T97_P8","delta_simpson",-1.89582800647533
"toledo",NA,"control","T97_P9","delta_abundancia",-36
"toledo",NA,"control","T97_P9","delta_riqueza",0
"toledo",NA,"control","T97_P9","delta_shannon",0.402800679031902
"toledo",NA,"control","T97_P9","delta_simpson",-0.0738579665064751
"toledo",NA,"high","T12_P1","delta_abundancia",-7
"toledo",NA,"high","T12_P1","delta_riqueza",1
"toledo",NA,"high","T12_P1","delta_shannon",0.246603121223804
"toledo",NA,"high","T12_P1","delta_simpson",-0.354796160469007
"toledo",NA,"high","T12_P2","delta_abundancia",-8
"toledo",NA,"high","T12_P2","delta_riqueza",2
"toledo",NA,"high","T12_P2","delta_shannon",0.0280297960037936
"toledo",NA,"high","T12_P2","delta_simpson",-0.145605644236477
"toledo",NA,"high","T12_P3","delta_abundancia",26
"toledo",NA,"high","T12_P3","delta_riqueza",5
"toledo",NA,"high","T12_P3","delta_shannon",0.930522379263902
"toledo",NA,"high","T12_P3","delta_simpson",-0.208216996233478
"toledo",NA,"high","T14_P1","delta_abundancia",20
"toledo",NA,"high","T14_P1","delta_riqueza",1
"toledo",NA,"high","T14_P1","delta_shannon",1.46441658649799
"toledo",NA,"high","T14_P1","delta_simpson",1.42663055615334
"toledo",NA,"high","T14_P2","delta_abundancia",-82
"toledo",NA,"high","T14_P2","delta_riqueza",1
"toledo",NA,"high","T14_P2","delta_shannon",1.67110945292522
"toledo",NA,"high","T14_P2","delta_simpson",1.4645164645819
"toledo",NA,"high","T14_P3","delta_abundancia",70
"toledo",NA,"high","T14_P3","delta_riqueza",9
"toledo",NA,"high","T14_P3","delta_shannon",0.426705952941372
"toledo",NA,"high","T14_P3","delta_simpson",-0.491441717050161
"toledo",NA,"high","T98_P1","delta_abundancia",-58
