"site","habitat","treatment","sampling_unit","indice","valor"
"toledo","forest","control","T10_forest","delta_abundancia_Bare_ground",-36.8825433859073
"toledo","forest","control","T10_forest","delta_abundancia_Woody_dead_material",37.1582909648213
"toledo","forest","control","T10_forest","delta_abundancia_Herbs",-1.7472908160494
"toledo","forest","control","T10_forest","delta_abundancia_Woody_sps",1.4715432371353
"toledo","forest","control","T6_forest","delta_abundancia_Bare_ground",-29.7918728757265
"toledo","forest","control","T6_forest","delta_abundancia_Woody_dead_material",29.0421070152241
"toledo","forest","control","T6_forest","delta_abundancia_Herbs",-1.57888049827396
"toledo","forest","control","T6_forest","delta_abundancia_Woody_sps",2.3286463587764
"toledo","forest","control","T7_forest","delta_abundancia_Bare_ground",-9.76243182547323
"toledo","forest","control","T7_forest","delta_abundancia_Woody_dead_material",13.3926852743022
"toledo","forest","control","T7_forest","delta_abundancia_Herbs",-8.7510426692332
"toledo","forest","control","T7_forest","delta_abundancia_Woody_sps",5.1207892204042
"toledo","forest","control","T8_forest","delta_abundancia_Bare_ground",0.950947603121501
"toledo","forest","control","T8_forest","delta_abundancia_Woody_dead_material",-6.36231884057971
"toledo","forest","control","T8_forest","delta_abundancia_Herbs",4.7898550724637
"toledo","forest","control","T8_forest","delta_abundancia_Woody_sps",0.6215161649945
"toledo","forest","control","T9_forest","delta_abundancia_Bare_ground",7.8056484578223
"toledo","forest","control","T9_forest","delta_abundancia_Woody_dead_material",1.48392244300172
"toledo","forest","control","T9_forest","delta_abundancia_Herbs",-14.8007519618773
"toledo","forest","control","T9_forest","delta_abundancia_Woody_sps",5.5111810610532
"toledo","forest","high","T11_forest","delta_abundancia_Bare_ground",3.8081395348837
"toledo","forest","high","T11_forest","delta_abundancia_Woody_dead_material",-1.1696306429548
"toledo","forest","high","T11_forest","delta_abundancia_Herbs",-2.38543091655267
"toledo","forest","high","T11_forest","delta_abundancia_Woody_sps",-0.2530779753762
"toledo","forest","high","T12_forest","delta_abundancia_Bare_ground",-59.1245791245791
"toledo","forest","high","T12_forest","delta_abundancia_Woody_dead_material",53.0454545454546
"toledo","forest","high","T12_forest","delta_abundancia_Herbs",3.4511784511784
"toledo","forest","high","T12_forest","delta_abundancia_Woody_sps",2.62794612794612
"toledo","forest","high","T13_forest","delta_abundancia_Bare_ground",-57.6098323387326
"toledo","forest","high","T13_forest","delta_abundancia_Woody_dead_material",25.7419721511793
"toledo","forest","high","T13_forest","delta_abundancia_Herbs",6.84882068769534
"toledo","forest","high","T13_forest","delta_abundancia_Woody_sps",25.0190394998579
"toledo","forest","high","T14_forest","delta_abundancia_Bare_ground",-33.3563748079877
"toledo","forest","high","T14_forest","delta_abundancia_Woody_dead_material",44.110599078341
"toledo","forest","high","T14_forest","delta_abundancia_Herbs",-0.69329237071173
"toledo","forest","high","T14_forest","delta_abundancia_Woody_sps",-10.0609318996416
"toledo","forest","high","T15_forest","delta_abundancia_Bare_ground",-18.4242685185923
"toledo","forest","high","T15_forest","delta_abundancia_Woody_dead_material",35.6046532024653
"toledo","forest","high","T15_forest","delta_abundancia_Herbs",-22.4609774701866
"toledo","forest","high","T15_forest","delta_abundancia_Woody_sps",5.2805927863136
"toledo","forest","hyper","T16_forest","delta_abundancia_Bare_ground",-0.890287957568596
"toledo","forest","hyper","T16_forest","delta_abundancia_Woody_dead_material",8.94568690095847
