"site","habitat","treatment","sampling_unit","indice","valor"
"toledo",NA,"control","trap_1/2022/trap_1/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_1/2022/trap_10/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_1/2022/trap_11/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_1/2022/trap_12/2021","rodent_probability",0
"toledo",NA,"control","trap_1/2022/trap_13/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_1/2022/trap_14/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_1/2022/trap_15/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_1/2022/trap_2/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_1/2022/trap_3/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_1/2022/trap_4/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_1/2022/trap_5/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_1/2022/trap_6/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_1/2022/trap_7/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_1/2022/trap_8/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_1/2022/trap_9/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_10/2022/trap_1/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_10/2022/trap_10/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_10/2022/trap_11/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_10/2022/trap_12/2021","rodent_probability",0
"toledo",NA,"control","trap_10/2022/trap_13/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_10/2022/trap_14/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_10/2022/trap_15/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_10/2022/trap_2/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_10/2022/trap_3/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_10/2022/trap_4/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_10/2022/trap_5/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_10/2022/trap_6/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_10/2022/trap_7/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_10/2022/trap_8/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_10/2022/trap_9/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_11/2022/trap_1/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_11/2022/trap_10/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_11/2022/trap_11/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_11/2022/trap_12/2021","rodent_probability",0
"toledo",NA,"control","trap_11/2022/trap_13/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_11/2022/trap_14/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_11/2022/trap_15/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_11/2022/trap_2/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_11/2022/trap_3/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_11/2022/trap_4/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_11/2022/trap_5/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_11/2022/trap_6/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_11/2022/trap_7/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_11/2022/trap_8/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_11/2022/trap_9/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_1/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_10/2021","rodent_probability",0
"toledo",NA,"control","trap_12/2022/trap_11/2021","rodent_probability",0
"toledo",NA,"control","trap_12/2022/trap_12/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_13/2021","rodent_probability",0
"toledo",NA,"control","trap_12/2022/trap_14/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_15/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_2/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_3/2021","rodent_probability",0
"toledo",NA,"control","trap_12/2022/trap_4/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_5/2021","rodent_probability",0
"toledo",NA,"control","trap_12/2022/trap_6/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_7/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_12/2022/trap_8/2021","rodent_probability",0
"toledo",NA,"control","trap_12/2022/trap_9/2021","rodent_probability",0
"toledo",NA,"control","trap_13/2022/trap_1/2021","rodent_probability",0
"toledo",NA,"control","trap_13/2022/trap_10/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_13/2022/trap_11/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_13/2022/trap_12/2021","rodent_probability",66.6666666666667
"toledo",NA,"control","trap_13/2022/trap_13/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_13/2022/trap_14/2021","rodent_probability",0
"toledo",NA,"control","trap_13/2022/trap_15/2021","rodent_probability",0
"toledo",NA,"control","trap_13/2022/trap_2/2021","rodent_probability",0
"toledo",NA,"control","trap_13/2022/trap_3/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_13/2022/trap_4/2021","rodent_probability",0
"toledo",NA,"control","trap_13/2022/trap_5/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_13/2022/trap_6/2021","rodent_probability",0
"toledo",NA,"control","trap_13/2022/trap_7/2021","rodent_probability",0
"toledo",NA,"control","trap_13/2022/trap_8/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_13/2022/trap_9/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_1/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_10/2021","rodent_probability",0
"toledo",NA,"control","trap_14/2022/trap_11/2021","rodent_probability",0
"toledo",NA,"control","trap_14/2022/trap_12/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_13/2021","rodent_probability",0
"toledo",NA,"control","trap_14/2022/trap_14/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_15/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_2/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_3/2021","rodent_probability",0
"toledo",NA,"control","trap_14/2022/trap_4/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_5/2021","rodent_probability",0
"toledo",NA,"control","trap_14/2022/trap_6/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_7/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_14/2022/trap_8/2021","rodent_probability",0
"toledo",NA,"control","trap_14/2022/trap_9/2021","rodent_probability",0
"toledo",NA,"control","trap_15/2022/trap_1/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_15/2022/trap_10/2021","rodent_probability",0
"toledo",NA,"control","trap_15/2022/trap_11/2021","rodent_probability",0
"toledo",NA,"control","trap_15/2022/trap_12/2021","rodent_probability",33.3333333333333
"toledo",NA,"control","trap_15/2022/trap_13/2021","rodent_probability",0
"toledo",NA,"control","trap_15/2022/trap_14/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_15/2022/trap_15/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_15/2022/trap_2/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_15/2022/trap_3/2021","rodent_probability",0
"toledo",NA,"control","trap_15/2022/trap_4/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_15/2022/trap_5/2021","rodent_probability",0
"toledo",NA,"control","trap_15/2022/trap_6/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_15/2022/trap_7/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_15/2022/trap_8/2021","rodent_probability",0
"toledo",NA,"control","trap_15/2022/trap_9/2021","rodent_probability",0
"toledo",NA,"control","trap_2/2022/trap_1/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_2/2022/trap_10/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_2/2022/trap_11/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_2/2022/trap_12/2021","rodent_probability",0
"toledo",NA,"control","trap_2/2022/trap_13/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_2/2022/trap_14/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_2/2022/trap_15/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_2/2022/trap_2/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_2/2022/trap_3/2021","rodent_probability",-33.3333333333333
"toledo",NA,"control","trap_2/2022/trap_4/2021","rodent_probability",-66.6666666666667
"toledo",NA,"control","trap_2/2022/trap_5/2021","rodent_probability",-33.3333333333333
