"site","habitat","treatment","sampling_unit","indice","valor"
"toledo","forest","control","T10_forest","delta_abundancia",89
"toledo","forest","control","T10_forest","delta_riqueza",0
"toledo","forest","control","T10_forest","delta_shannon",0.0353693094499739
"toledo","forest","control","T10_forest","delta_simpson",0.0825589669433211
"toledo","forest","control","T6_forest","delta_abundancia",-6
"toledo","forest","control","T6_forest","delta_riqueza",0
"toledo","forest","control","T6_forest","delta_shannon",-0.120415568800568
"toledo","forest","control","T6_forest","delta_simpson",-0.110243943303852
"toledo","forest","control","T7_forest","delta_abundancia",90
"toledo","forest","control","T7_forest","delta_riqueza",2
"toledo","forest","control","T7_forest","delta_shannon",0.235240931137681
"toledo","forest","control","T7_forest","delta_simpson",0.101543709429224
"toledo","forest","control","T8_forest","delta_abundancia",20
"toledo","forest","control","T8_forest","delta_riqueza",0
"toledo","forest","control","T8_forest","delta_shannon",-0.0263834020201084
"toledo","forest","control","T8_forest","delta_simpson",-0.033021121882375
"toledo","forest","control","T9_forest","delta_abundancia",184
"toledo","forest","control","T9_forest","delta_riqueza",0
"toledo","forest","control","T9_forest","delta_shannon",-0.21242558988398
"toledo","forest","control","T9_forest","delta_simpson",-0.180722517515902
"toledo","forest","high","T11_forest","delta_abundancia",-36
"toledo","forest","high","T11_forest","delta_riqueza",0
"toledo","forest","high","T11_forest","delta_shannon",0.0713077099671642
"toledo","forest","high","T11_forest","delta_simpson",0.0983603358665146
"toledo","forest","high","T12_forest","delta_abundancia",81
"toledo","forest","high","T12_forest","delta_riqueza",0
"toledo","forest","high","T12_forest","delta_shannon",0.818335996286806
"toledo","forest","high","T12_forest","delta_simpson",0.905015347384539
"toledo","forest","high","T13_forest","delta_abundancia",614
"toledo","forest","high","T13_forest","delta_riqueza",0
"toledo","forest","high","T13_forest","delta_shannon",-0.0388050628024608
"toledo","forest","high","T13_forest","delta_simpson",-0.0162014663215981
"toledo","forest","high","T14_forest","delta_abundancia",-337
"toledo","forest","high","T14_forest","delta_riqueza",-1
"toledo","forest","high","T14_forest","delta_shannon",-0.152248907944048
"toledo","forest","high","T14_forest","delta_simpson",-0.054650629576634
"toledo","forest","high","T15_forest","delta_abundancia",169
"toledo","forest","high","T15_forest","delta_riqueza",0
"toledo","forest","high","T15_forest","delta_shannon",-0.145847891991856
"toledo","forest","high","T15_forest","delta_simpson",-0.0556774659801813
"toledo","forest","hyper","T16_forest","delta_abundancia",-186
"toledo","forest","hyper","T16_forest","delta_riqueza",0
"toledo","forest","hyper","T16_forest","delta_shannon",-0.145908582665127
"toledo","forest","hyper","T16_forest","delta_simpson",-0.0931318833810479
"toledo","forest","hyper","T17_forest","delta_abundancia",-486
"toledo","forest","hyper","T17_forest","delta_riqueza",-1
"toledo","forest","hyper","T17_forest","delta_shannon",-0.87496629640885
"toledo","forest","hyper","T17_forest","delta_simpson",-0.397912058498799
"toledo","forest","hyper","T19_forest","delta_abundancia",-364
"toledo","forest","hyper","T19_forest","delta_riqueza",0
"toledo","forest","hyper","T19_forest","delta_shannon",-0.429705446531814
"toledo","forest","hyper","T19_forest","delta_simpson",-0.574843732915194
"toledo","forest","hyper","T20_forest","delta_abundancia",-922
"toledo","forest","hyper","T20_forest","delta_riqueza",-2
"toledo","forest","hyper","T20_forest","delta_shannon",-0.173170247282527
"toledo","forest","hyper","T20_forest","delta_simpson",0.0105094980492335
"toledo","forest","hyper","T66_forest","delta_abundancia",41
"toledo","forest","hyper","T66_forest","delta_riqueza",1
"toledo","forest","hyper","T66_forest","delta_shannon",0.537545016942583
"toledo","forest","hyper","T66_forest","delta_simpson",0.41489131517231
"toledo","scrub","control","T51_scrub","delta_abundancia",10
"toledo","scrub","control","T51_scrub","delta_riqueza",0
"toledo","scrub","control","T51_scrub","delta_shannon",0.155436253013313
"toledo","scrub","control","T51_scrub","delta_simpson",0.147312571083666
"toledo","scrub","control","T52_scrub","delta_abundancia",20
"toledo","scrub","control","T52_scrub","delta_riqueza",-1
"toledo","scrub","control","T52_scrub","delta_shannon",-0.125735987908492
"toledo","scrub","control","T52_scrub","delta_simpson",-0.0971844754548847
"toledo","scrub","control","T53_scrub","delta_abundancia",-435
"toledo","scrub","control","T53_scrub","delta_riqueza",0
"toledo","scrub","control","T53_scrub","delta_shannon",0.512515865587988
"toledo","scrub","control","T53_scrub","delta_simpson",0.533175857696925
"toledo","scrub","control","T64_scrub","delta_abundancia",330
"toledo","scrub","control","T64_scrub","delta_riqueza",0
"toledo","scrub","control","T64_scrub","delta_shannon",-0.203166031472916
"toledo","scrub","control","T64_scrub","delta_simpson",-0.135334041960335
"toledo","scrub","control","T65_scrub","delta_abundancia",-45
"toledo","scrub","control","T65_scrub","delta_riqueza",0
"toledo","scrub","control","T65_scrub","delta_shannon",-0.18377777979317
"toledo","scrub","control","T65_scrub","delta_simpson",-0.205647287839781
"toledo","scrub","high","T56_scrub","delta_abundancia",138
"toledo","scrub","high","T56_scrub","delta_riqueza",0
"toledo","scrub","high","T56_scrub","delta_shannon",-0.0561256800271819
"toledo","scrub","high","T56_scrub","delta_simpson",-0.0288775085892787
"toledo","scrub","high","T57_scrub","delta_abundancia",146
