"site","habitat","treatment","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","units","comments","author_code"
"valencia",NA,"high",NA,"AA1",2021,2021-05-12,"ticks_environment","ticks_environment","Rhipicephalus_bursa",5,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA1",2021,2021-06-30,"ticks_environment","ticks_environment","Rhipicephalus_bursa",1,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA1",2021,2021-07-28,"ticks_environment","ticks_environment","Rhipicephalus_bursa",1,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA1",2021,2021-08-12,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA1",2022,2022-05-20,"ticks_environment","ticks_environment","Rhipicephalus_bursa",1,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA1",2022,2022-06-30,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA1",2022,2022-06-04,"ticks_environment","ticks_environment","Rhipicephalus_bursa",1,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA2",2021,2021-05-12,"ticks_environment","ticks_environment","Rhipicephalus_bursa",3,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA2",2021,2021-06-30,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA2",2021,2021-07-28,"ticks_environment","ticks_environment","Rhipicephalus_bursa",1,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA2",2021,2021-08-12,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA2",2022,2022-05-20,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA2",2022,2022-06-30,"ticks_environment","ticks_environment","Rhipicephalus_bursa",2,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA2",2022,2022-06-04,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA3",2021,2021-05-12,"ticks_environment","ticks_environment","Rhipicephalus_bursa",2,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA3",2021,2021-06-30,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA3",2021,2021-07-28,"ticks_environment","ticks_environment","Rhipicephalus_bursa",1,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA3",2021,2021-08-12,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA3",2022,2022-05-20,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA3",2022,2022-06-30,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA3",2022,2022-06-04,"ticks_environment","ticks_environment","Rhipicephalus_bursa",1,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA4",2021,2021-05-12,"ticks_environment","ticks_environment","Rhipicephalus_bursa",2,"n_individuals",NA,NA
"valencia",NA,"high",NA,"AA4",2021,2021-06-30,"ticks_environment","ticks_environment","Rhipicephalus_bursa",0,"n_individuals",NA,NA
