"site","habitat","treatment","plot","sampling_unit","year","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","forest","control",NA,"T10",2021,"vegetation","cover_percentage","Bare_ground",40.5338078291815,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T10",2021,"vegetation","cover_percentage","Herbs",37.5800711743772,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T10",2021,"vegetation","cover_percentage","Woody_sp",21.8861209964413,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T10",2022,"vegetation","cover_percentage","Bare_ground",40.8095554080956,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T10",2022,"vegetation","cover_percentage","Herbs",35.8327803583278,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T10",2022,"vegetation","cover_percentage","Woody_sp",23.3576642335766,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T6",2021,"vegetation","cover_percentage","Bare_ground",35.1142581268104,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T6",2021,"vegetation","cover_percentage","Herbs",8.30383006115224,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T6",2021,"vegetation","cover_percentage","Woody_sp",56.5819118120373,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T6",2022,"vegetation","cover_percentage","Bare_ground",34.364492266308,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T6",2022,"vegetation","cover_percentage","Herbs",6.72494956287828,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T6",2022,"vegetation","cover_percentage","Woody_sp",58.9105581708137,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T7",2021,"vegetation","cover_percentage","Bare_ground",17.869746551171,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T7",2021,"vegetation","cover_percentage","Herbs",27.7510426692332,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T7",2021,"vegetation","cover_percentage","Woody_sp",54.3792107795958,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T7",2022,"vegetation","cover_percentage","Bare_ground",21.5,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T7",2022,"vegetation","cover_percentage","Herbs",19,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T7",2022,"vegetation","cover_percentage","Woody_sp",59.5,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T8",2021,"vegetation","cover_percentage","Bare_ground",23.4113712374582,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T8",2021,"vegetation","cover_percentage","Herbs",63.0434782608696,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T8",2021,"vegetation","cover_percentage","Woody_sp",13.5451505016722,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T8",2022,"vegetation","cover_percentage","Bare_ground",18,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T8",2022,"vegetation","cover_percentage","Herbs",67.8333333333333,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T8",2022,"vegetation","cover_percentage","Woody_sp",14.1666666666667,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T9",2021,"vegetation","cover_percentage","Bare_ground",13.9130434782609,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T9",2021,"vegetation","cover_percentage","Herbs",64.1471571906355,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T9",2021,"vegetation","cover_percentage","Woody_sp",21.9397993311037,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T9",2022,"vegetation","cover_percentage","Bare_ground",23.202614379085,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T9",2022,"vegetation","cover_percentage","Herbs",49.3464052287582,"percentage_in_track",NA,NA
"toledo","forest","control",NA,"T9",2022,"vegetation","cover_percentage","Woody_sp",27.4509803921569,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T11",2021,"vegetation","cover_percentage","Bare_ground",26.7732558139535,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T11",2021,"vegetation","cover_percentage","Herbs",4.73837209302326,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T11",2021,"vegetation","cover_percentage","Woody_sp",68.4883720930233,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T11",2022,"vegetation","cover_percentage","Bare_ground",29.4117647058824,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T11",2022,"vegetation","cover_percentage","Herbs",2.35294117647059,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T11",2022,"vegetation","cover_percentage","Woody_sp",68.2352941176471,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T12",2021,"vegetation","cover_percentage","Bare_ground",71.2457912457913,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T12",2021,"vegetation","cover_percentage","Herbs",21.5488215488216,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T12",2021,"vegetation","cover_percentage","Woody_sp",7.20538720538721,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T12",2022,"vegetation","cover_percentage","Bare_ground",65.1666666666667,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T12",2022,"vegetation","cover_percentage","Herbs",25,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T12",2022,"vegetation","cover_percentage","Woody_sp",9.83333333333333,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T13",2021,"vegetation","cover_percentage","Bare_ground",68.2011935208866,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T13",2021,"vegetation","cover_percentage","Herbs",5.48451264563796,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T13",2021,"vegetation","cover_percentage","Woody_sp",26.3142938334754,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T13",2022,"vegetation","cover_percentage","Bare_ground",36.3333333333333,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T13",2022,"vegetation","cover_percentage","Herbs",12.3333333333333,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T13",2022,"vegetation","cover_percentage","Woody_sp",51.3333333333333,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T14",2021,"vegetation","cover_percentage","Bare_ground",48.7619047619048,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T14",2021,"vegetation","cover_percentage","Herbs",1.01587301587302,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T14",2021,"vegetation","cover_percentage","Woody_sp",50.2222222222222,"percentage_in_track",NA,NA
