"site","habitat","treatment","Cercado","plot","sampling_unit","year","date","variable_type","variable_name","level","Intervalo","observation","Grado de ramoneo","sampling_num","units","comments","author_code"
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Pinus_halepensis",40,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",100,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Herbs",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",20,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",120,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",10,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",10,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Herbs",50,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_apenninum",3,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Herbs",13,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",2,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_cinereum",4,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",6,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",33,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",25,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Herbs",41,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_cinereum",4,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Herbs",30,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",110,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Cistus_salviifolius",16,5,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",130,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",20,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Fumana_thymifolia",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",24,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Herbs",6,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",180,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",70,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Herbs",5,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",20,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",70,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Pinus_halepensis",140,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",100,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Genista_scorpius",20,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",120,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",5,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",20,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",160,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",5,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_cinereum",3,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",5,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",84,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",24,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",435,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",20,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_ilex",145,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",30,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",30,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",50,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",13,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",3,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Herbs",7,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",70,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",240,4,NA,NA,"browsing semi-cuantitative index",NA,NA
