"Cercado.x" "ID" "OLD_Chl" "OLD_Chl_sd" "OLD_Flav" "OLD_Flav_sd" "OLD_Anth" "OLD_Anth_sd" "OLD_NBI" "OLD_NBI_sd" "NEW_Chl" "NEW_Chl_sd" "NEW_Flav" "NEW_Flav_sd" "NEW_Anth" "NEW_Anth_sd" "NEW_NBI" "NEW_NBI_sd" "Year" "Full_ID" "Specie"
"1" "A" "108CL" "36.91" "2.687" "1.923" "0.138" "0.2" "0.039" "19.281" "1.993" 29.1 "2.779" "1.934" "0.028" "0.18" "0.022" "15.045" "1.433" "2021" "21_QM_A_108CL" "CL"
"2" "C" "435CL" "50.156" "4.821" "1.826" "0.047" "0.125" "0.033" "27.508" "2.953" 29.659 "15.42" "1.513" "0.228" "0.164" "0.072" "20.005" "12.113" "2021" "21_QM_C_435CL" "CL"
"3" "A" "123CL" "42.975" "2.539" "1.914" "0.073" "0.14" "0.02" "22.462" "1.107" 26.945 "3.682" "1.776" "0.058" "0.176" "0.022" "15.141" "1.672" "2021" "21_QM_A_123CL" "CL"
"4" "A" "121CL" "41.209" "2.097" "1.867" "0.066" "0.167" "0.039" "22.124" "1.852" 29.387 "14.908" "1.607" "0.326" "0.144" "0.029" "17.014" "7.879" "2021" "21_QM_A_121CL" "CL"
"5" "A" "24CL" "39.183" "1.657" "1.913" "0.022" "0.209" "0.028" "20.486" "0.797" 24.582 "2.801" "1.834" "0.07" "0.245" "0.027" "13.397" "1.407" "2021" "21_QM_A_24CL" "CL"
"6" "A" "131CL" "43.173" "2.812" "1.935" "0.109" "0.196" "0.039" "22.342" "1.409" 29.761 "5.813" "1.859" "0.105" "0.187" "0.033" "16.032" "3.093" "2021" "21_QM_A_131CL" "CL"
"7" "A" "141CL" "43.558" "4.786" "1.891" "0.124" "0.174" "0.054" "23.066" "2.614" 30.218 "3.124" "1.861" "0.022" "0.175" "0.015" "16.249" "1.794" "2021" "21_QM_A_141CL" "CL"
"8" "A" "40CL" "40.425" "2.731" "1.931" "0.093" "0.205" "0.042" "21.015" "2.416" 29.674 "3.701" "1.844" "0.039" "0.186" "0.028" "16.09" "1.951" "2021" "21_QM_A_40CL" "CL"
"9" "A" "64CL" "44.069" "3.418" "1.924" "0.129" "0.171" "0.02" "22.91" "0.929" 34.413 "4.245" "1.863" "0.055" "0.175" "0.017" "18.529" "2.743" "2021" "21_QM_A_64CL" "CL"
"10" "A" "66CL" "44.069" "3.418" "1.924" "0.129" "0.171" "0.02" "22.91" "0.929" 22.275 "11.495" "1.786" "0.138" "0.19" "0.03" "12.157" "5.746" "2021" "21_QM_A_66CL" "CL"
"11" "A" "3CL" "39.328" "3.229" "1.856" "0.07" "0.212" "0.011" "21.191" "1.522" 24.109 "5.322" "1.824" "0.078" "0.214" "0.027" "13.241" "3.001" "2021" "21_QM_A_3CL" "CL"
"12" "A" "69CL" "39.807" "1.906" "1.832" "0.127" "0.192" "0.015" "21.814" "1.826" 21.713 "10.984" "1.684" "0.192" "0.193" "0.032" "12.405" "6.085" "2021" "21_QM_A_69CL" "CL"
"13" "A" "58CL" "36.568" "2.388" "1.913" "0.077" "0.226" "0.028" "19.126" "1.238" 31.697 "4.105" "1.768" "0.051" "0.188" "0.036" "17.978" "2.71" "2021" "21_QM_A_58CL" "CL"
"14" "A" "59CL" "43.343" "6.348" "2.041" "0.096" "0.186" "0.02" "21.269" "3.174" 31.415 "2.894" "1.763" "0.074" "0.177" "0.015" "17.834" "1.658" "2021" "21_QM_A_59CL" "CL"
