	Acmaeodera	Adelidae	Ammophila	Anaspidinae	Andrena_lagopus	Andrena_msp1	Andrena_msp2	Andrena_msp3	Andrena_msp5	Andrena_msp11	Anthophora_sp	Apis_mellifera	Bibionidae	Bombylius_sp	Bombylius_major	Bombus_terrestris	Braconidae_msp1	Bruchinae	Camponotus_cruentatus	Camponotus_pilicornis	Ceratina_msp1	Chalcididae	Chelostoma_msp1	Chelostoma_msp2	Chrysanthia_sp	Chrysididae	Chrysomelidae_msp2	Cleridae	Crematogaster_auberti	Diptera_s	Diptera_ms	Dufourea_sp	Empididae	Enicopus_sp	Eristalis_tenax	Eupeodes_sp	Eucera_msp2	Flavipanurgus_flavus	Gonepteryx_cleopatra	Halictus_msp1	Heliotaurus_ruficollis	Iberoformica_subrufa	Ichneumonidae	Lasioglossum_msp1	Lobonyx_aeneus	Lucilia_sp	Malachinae	Maniola_jurtina	Meliguethes_sp	Muscidae	Microdynerus_sp	Myathropa_florea	Mylabris	Nomada_sp	Osmia_msp1	Osmia_msp4	Panurgus_sp	Plagiolepis_schmitzii	Protosmia_msp1	Pseudoanthidium	Pterophoridae	Rhynocoris_iracundus	Scarabeidae_msp1	Sphecodes_sp	Sphaerophoria_scripta	Stenurella_approximans	Stictolecptura_cordigera	Syrphidae	Tachinidae_msp2	Tachinidae_msp4	Tettigoniidae	Usia_sp	Volucella_elegans	Xilocopa_cantabrita
Cla	0	0	0	0	0	0.761904762	0	0	1.523809524	0	0	0	0	0	0	0.761904762	0.761904762	1.523809524	21.33333333	0.761904762	0	0.761904762	0	0	0.761904762	0	0	0	18.28571429	0	8.380952381	0	0	19.80952381	2.285714286	0	0	5.333333333	0	0	37.33333333	13.71428571	0	3.047619048	0.761904762	0	1.523809524	0	1.523809524	0	0	0	0	0	0	0	0.761904762	13.71428571	0	0	0	1.523809524	0	0	0	0	0	0	0	0	0	7.619047619	0.761904762	0
Cpop	0.653944954	0	0	1.634862385	0.326972477	0	0.326972477	0.980917431	1.961834862	0	0.653944954	0.653944954	1.634862385	0.653944954	0.326972477	0	0	0.653944954	6.866422018	0	0	0.326972477	0	0	0	0	0	0.326972477	7.520366972	0.653944954	1.634862385	0	0.653944954	4.250642202	9.482201835	0	0	1.307889908	0.326972477	0.653944954	15.36770642	3.596697248	0	3.923669725	0	3.269724771	0.653944954	0	0	0.326972477	0	0.326972477	0	4.577614679	0	0	0	3.923669725	0	0	0	0	0	0.326972477	2.615779817	0.980917431	0.653944954	0.326972477	0.980917431	0.326972477	3.269724771	16.34862385	0	0
Tmas_total	0	0	0.666666667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1.666666667	0	0.666666667	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
Trifol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.692041522	0	0	0	0	0	0.346020761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346020761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.060070671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35335689	0	0	0	0	0	0	0	0.35335689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.706713781	0	0
Cre	1	0	0	0	0	0	0	0	0.5	10	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	32.5	0	0	0	0	0	1	0	0.5	0	0	0	0	0	0.5	2	0	0
Lsax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0	0	1.666666667	0	0	0.333333333	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tolp	0	0	0	0	0	0	0	0	1.030927835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.608247423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.030927835	0	0
Campa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0
