	 Anaspidinae	 Andrena_msp1	 Andrena_msp3	 Andrena_msp4	 Andrena_msp5	 Andrena_msp11	 Andrena_msp13	 Andrena_msp16	 Apis_mellifera	 Asilidae	 Bombylius_sp	 Bombus_terrestris	 Braconidae_msp1	 Braconidae_msp6	 Bruchinae	 Camponotus_cruentatus	 Camponotus_pilicornis	 Carabidae	 Cerceris_sp	 Chalcididae	 Chelostoma_msp1	 Chrysomelidae_msp2	 Conopidae_msp1	 Crematogaster_auberti	 Curculionidae_msp1	 Diptera_s	 Diptera_ms	 Dufourea_sp	 Empididae	 Enicopus_sp	 Eristalis_tenax	 Eucera_msp2	 Flavipanurgus_flavus	 Halictus_msp1	 Heliotaurus_ruficollis	 Heterocera	 Hylaeus_variegatus	 Iberoformica_subrufa	 Ichneumonidae	 Lampides_boeticus	 Lasioglossum_msp1	 Lasioglossum_msp1.2	 Lasioglossum_msp2	 Lasiommata_megera	 Lomatia_sp	 Megachile_sp	 Melanostoma_sp	 Meliguethes_sp	 Mylabris	 Microdynerus_sp	 Mordellidae	 Muscidae	 Myathropa_florea	 Myopa_sp	 Nomada_sp	 Nomada_sexfasciata	 Osmia_msp1	 Osmia_msp3	 Osmia_msp4	 Panurgus_sp	 Panurgus_msp2	 Plagiolepis_schmitzii	 Pseudoanthidium_sp	 Pterophoridae	  Rhynocoris_iracundus	 Scarabeidae_msp1	 Scarabeidae_msp2	 Sphaerophoria_scripta	 Stenurella_approximans	 Stenurella_nigra	 Stictolecptura_cordigera	 Tachinidae_msp1	 Tachinidae_msp2	 Tachinidae_msp4	 Tachina_sp	 Tettigoniidae	 Thysanoptera	 Trichodes_leucopsideus	 Usia_sp	 Vanessa_cardui	 Volucella_elegans	 Xylocopa_cantabrita
Cla	3.047619048	0.761904762	1.523809524	0	1.523809524	0	0	0	2.285714286	0	0	6.095238095	0.761904762	0.761904762	0	16.76190476	1.523809524	0.761904762	0	0.761904762	0	0	0	0	0	1.523809524	0.761904762	0	0	24.38095238	10.66666667	0.761904762	3.047619048	0.761904762	54.0952381	1.523809524	0	3.047619048	0.761904762	0.761904762	14.47619048	0	0.761904762	0	0	0	0	0	0.761904762	0	0	0	0	0.761904762	0	0	0	0	0	0	0	0	0	0	0	3.047619048	0	0.761904762	2.285714286	0	1.523809524	0	0	0	0	3.047619048	1.523809524	0	6.095238095	0	0	0
Cpop	2.875	0.479166667	0.958333333	0.479166667	0.958333333	0	0	0.479166667	15.33333333	0.479166667	0	0	0	0	0.479166667	0	0	0	0.958333333	0	0	0	0.479166667	10.0625	0	1.4375	0	0	1.4375	2.875	14.85416667	0	0	0	9.104166667	0	0	2.875	0	0.479166667	45.04166667	0	0	0	0.958333333	0	0	0.479166667	0	0	0	0.479166667	1.916666667	0	0.479166667	0	0.479166667	0	0	0	0	1.4375	0	0	0.479166667	0.479166667	0.479166667	1.916666667	0.479166667	0	2.395833333	0.958333333	0.479166667	1.4375	3.354166667	2.875	1.4375	0	0.958333333	0	2.395833333	0.479166667
Tmas	0	0	0.333333333	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	1	0	0	0	0	0	0.666666667	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0.333333333	0	0	0.333333333	0	0	0	0	0.666666667	0	0.333333333	0	0.333333333	0	0	0	7	0.666666667	0	0	0.666666667	0	0	0	0	0	0
Trifol	0	0	0	0	0	0	0	0	0	0.380228137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380228137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.760456274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380228137	0	0	0	0.380228137	0	0	0	0	0	0	0	0	0	0	0	0	0.380228137	0	0	0	0	0	0	0	0	0	0
Cyt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546448087	0	0	0
Cre	0	0	0	0	0	18	1.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	27.5	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	4	0	0	0
Lsax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0.333333333	0	0	0	0	0	0	0	0.666666667	0.333333333	0	0	0	1.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tolp	0	0	0	0	0	1.030927835	0	0	0	0.515463918	0	0	0	0	0.515463918	0	0	0	0	0	0	0	0.515463918	0	0	0	0	0	0	0	0	0	0	0	0.515463918	0	0	0	0	0	0	0	0	0	0.515463918	0	0	0	0	0.515463918	0	0	0	0	0	0	0	0	0	10.30927835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.546391753	0	0	0
Campa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.25	0	0	0
