"ID" "OLD_Chl" "OLD_Chl_sd" "OLD_Flav" "OLD_Flav_sd" "OLD_Anth" "OLD_Anth_sd" "OLD_NBI" "OLD_NBI_sd" "NEW_Chl" "NEW_Chl_sd" "NEW_Flav" "NEW_Flav_sd" "NEW_Anth" "NEW_Anth_sd" "NEW_NBI" "NEW_NBI_sd" "Year" "Full_ID" "Specie"
"1" "25QI" 56.886 5.418 1.843 0.036 0.131 0.023 30.9 3.274 45.247 9.716 1.909 0.063 0.122 0.014 23.853 6.006 2021 "21_QM__25QI" "QI"
"2" "42CA" 29.521 3.612 1.909 0.115 0.272 0.059 15.569 2.619 41.062 2.519 1.674 0.048 0.123 0.006 24.546 1.716 2021 "21_QM__42CA" "CA"
"3" "36CA" 28.396 4.085 1.775 0.124 0.215 0.023 16.02 2.074 34.841 3.04 1.671 0.067 0.154 0.022 20.884 2.101 2021 "21_QM__36CA" "CA"
"4" "63QI" 52.572 3.491 1.85 0.022 0.15 0.021 28.42 2.003 39.054 3.179 1.929 0.027 0.196 0.03 20.246 1.659 2021 "21_QM__63QI" "QI"
"5" "62QI" 60.979 3.706 1.772 0.046 0.117 0.008 34.48 3.056 46.714 3.261 1.901 0.039 0.134 0.008 24.589 1.85 2021 "21_QM__62QI" "QI"
"6" "61QI" 54.614 2.988 1.867 0.063 0.133 0.014 29.302 2.392 49.187 4.063 1.865 0.037 0.121 0.015 26.406 2.625 2021 "21_QM__61QI" "QI"
"7" "64QI" 57.1 4.256 1.862 0.041 0.148 0.01 30.656 1.948 52.17 2.938 1.86 0.019 0.124 0.017 28.06 1.727 2021 "21_QM__64QI" "QI"
"8" "65QI" 61.742 0.941 1.965 0.053 0.155 0.015 31.44 0.721 50.542 4.807 1.979 0.051 0.141 0.017 25.585 2.948 2021 "21_QM__65QI" "QI"
"9" "66QI" 59.361 4.031 1.911 0.036 0.144 0.014 31.071 2.047 51.061 2.658 1.997 0.051 0.141 0.012 25.574 1.366 2021 "21_QM__66QI" "QI"
"10" "67QI" 60.381 7.815 1.909 0.057 0.142 0.02 31.63 4.03 40.092 4.526 1.991 0.049 0.156 0.018 20.131 2.113 2021 "21_QM__67QI" "QI"
"11" "96CA" 22.798 2.097 2.027 0.107 0.341 0.125 11.302 1.523 30.795 2.312 1.698 0.058 0.183 0.008 18.151 1.492 2021 "21_QM__96CA" "CA"
"12" "97CA" 33.086 1.161 2.013 0.075 0.227 0.013 16.459 0.87 33.719 0.8 1.631 0.073 0.165 0.01 20.71 1.169 2021 "21_QM__97CA" "CA"
"13" "95CA" 37.29 2.444 1.998 0.128 0.223 0.033 18.693 1.113 35.316 2.791 1.542 0.08 0.171 0.007 22.959 2.339 2021 "21_QM__95CA" "CA"
"14" "92CA" 25.034 3.934 1.967 0.085 0.306 0.04 12.727 1.981 34.254 2.373 1.683 0.093 0.17 0.009 20.369 1.332 2021 "21_QM__92CA" "CA"
"15" "93CA" 25.403 3.388 2.011 0.16 0.314 0.051 12.607 1.068 39.513 2.522 1.846 0.05 0.165 0.013 21.441 1.788 2021 "21_QM__93CA" "CA"
"16" "94CA" 29.476 6.144 1.895 0.075 0.307 0.118 15.584 3.327 34.892 1.978 1.738 0.114 0.163 0.012 20.17 2.181 2021 "21_QM__94CA" "CA"
"17" "103QI" 49.535 5.123 1.971 0.031 0.17 0.024 25.146 2.702 41.677 4.404 1.996 0.017 0.163 0.02 20.887 2.283 2021 "21_QM__103QI" "QI"
"18" "117CA" 19.716 8.173 1.795 0.147 0.356 0.181 11.15 5.142 36.798 1.849 1.762 0.074 0.16 0.02 20.937 1.777 2021 "21_QM__117CA" "CA"
"19" "116CA" 38.664 2.033 1.779 0.072 0.185 0.017 21.789 1.829 42.266 2.758 1.66 0.073 0.136 0.005 25.535 2.474 2021 "21_QM__116CA" "CA"
"20" "120QI" 55.944 2.75 1.969 0.017 0.145 0.006 28.421 1.631 52.36 5.409 1.968 0.048 0.133 0.012 26.588 2.427 2021 "21_QM__120QI" "QI"
"21" "123QI" 57.231 2.777 2 0.036 0.14 0.009 28.639 1.814 49.488 1.735 2.05 0.042 0.116 0.013 24.137 0.372 2021 "21_QM__123QI" "QI"
"22" "136QI" 59.094 2.123 2.034 0.075 0.127 0.016 29.073 1.211 55.946 3.004 1.995 0.032 0.117 0.009 28.058 1.747 2021 "21_QM__136QI" "QI"
"23" "137QI" 49.459 4.677 1.911 0.067 0.147 0.017 25.859 2.114 58.164 2.011 1.883 0.052 0.116 0.013 30.906 1.473 2021 "21_QM__137QI" "QI"
"24" "144CA" 25.985 7.578 1.97 0.145 0.285 0.058 13.305 4.2 34.884 3.458 1.674 0.121 0.186 0.011 20.812 0.874 2021 "21_QM__144CA" "CA"
"25" "153CA" 24.733 8.015 1.913 0.112 0.266 0.066 12.986 4.287 35.457 1.793 1.853 0.058 0.163 0.006 19.134 0.81 2021 "21_QM__153CA" "CA"
"26" "152QI" 69.575 3.43 1.936 0.135 0.127 0.019 35.99 1.081 58.077 2.24 2.001 0.02 0.112 0.011 29.029 1.244 2021 "21_QM__152QI" "QI"
"27" "157CA" 27.326 1.354 1.943 0.132 0.248 0.018 14.135 1.411 30.194 2.686 1.346 0.25 0.174 0.018 22.734 2.165 2021 "21_QM__157CA" "CA"
"28" "164CA" 22.93 9.546 1.899 0.129 0.404 0.106 11.883 4.478 39.237 3.124 1.837 0.042 0.126 0.008 21.34 1.307 2021 "21_QM__164CA" "CA"
"29" "169QI" 58.15 3.573 2.019 0.013 0.111 0.015 28.799 1.82 56.877 6.147 1.996 0.054 0.111 0.009 28.45 2.337 2021 "21_QM__169QI" "QI"
"30" "168QI" 67.99 3.62 2.018 0.036 0.118 0.014 33.714 2.044 57.606 1.901 2.04 0.028 0.111 0.015 28.246 1.067 2021 "21_QM__168QI" "QI"
"31" "186QI" 67.772 4.557 2.02 0.026 0.107 0.01 33.559 2.311 50.452 5.92 1.959 0.101 0.114 0.02 25.739 2.561 2021 "21_QM__186QI" "QI"
"32" "190QI" 57.307 5.384 2.05 0.039 0.127 0.013 27.969 2.799 40.272 12.257 1.998 0.154 0.181 0.024 19.935 4.903 2021 "21_QM__190QI" "QI"
"33" "189QI" 66.413 1.917 2.026 0.011 0.109 0.011 32.776 0.835 44.435 11.506 1.963 0.079 0.118 0.038 22.534 5.367 2021 "21_QM__189QI" "QI"
"34" "182QI" 60.676 4.749 2.017 0.037 0.12 0.017 30.13 2.845 45.321 8.162 1.882 0.162 0.128 0.022 23.954 2.671 2021 "21_QM__182QI" "QI"
"35" "188QI" 58.749 9.772 2.066 0.039 0.142 0.037 28.501 5.119 46.456 10.029 1.977 0.26 0.146 0.01 24.383 9.027 2021 "21_QM__188QI" "QI"
"36" "183QI" 66.792 2.258 1.993 0.026 0.131 0.024 33.511 1.229 33.74 2.932 2.067 0.22 0.167 0.035 16.557 2.94 2021 "21_QM__183QI" "QI"
"37" "184QI" 60.317 1.547 2.011 0.018 0.114 0.009 29.99 0.765 45.728 8.762 2.128 0.073 0.159 0.05 21.544 4.346 2021 "21_QM__184QI" "QI"
"38" "185QI" 60.587 1.856 2.016 0.034 0.122 0.003 30.061 1.282 40.514 3.403 2.052 0.064 0.15 0.013 19.727 1.283 2021 "21_QM__185QI" "QI"
"39" "173QI" 59.203 2.386 2.027 0.026 0.124 0.015 29.213 1.362 51.207 7.54 2.065 0.036 0.125 0.018 24.833 3.928 2021 "21_QM__173QI" "QI"
"40" "181QI" 66.518 4.027 2.02 0.03 0.12 0.014 32.96 2.416 45.174 6.651 2.032 0.031 0.126 0.012 22.212 3.103 2021 "21_QM__181QI" "QI"
"41" "187QI" 54.261 4.457 2.051 0.029 0.135 0.015 26.453 2.082 48.314 7.156 1.981 0.077 0.142 0.025 24.316 2.729 2021 "21_QM__187QI" "QI"
"42" "193CA" 26.815 5.822 2.04 0.151 0.469 0.155 13.154 2.757 41.408 1.872 1.656 0.161 0.134 0.01 25.186 2.659 2021 "21_QM__193CA" "CA"
"43" "242CA" 31.303 3.987 2.049 0.116 0.247 0.039 15.241 1.389 35.961 1.217 1.897 0.034 0.15 0.014 18.956 0.39 2021 "21_QM__242CA" "CA"
"44" "255CA" 19.493 5.032 1.955 0.109 0.325 0.072 10.094 3.074 37.485 2.913 1.742 0.035 0.141 0.013 21.531 1.895 2021 "21_QM__255CA" "CA"
"45" "256CA" 26.501 9.036 1.973 0.091 0.418 0.198 13.417 4.445 33.969 3.35 1.87 0.115 0.16 0.012 18.287 2.6 2021 "21_QM__256CA" "CA"
"46" "262CA" 26.365 10.754 1.82 0.382 0.412 0.157 13.03 3.9 39.017 2.478 1.823 0.149 0.15 0.013 21.559 2.826 2021 "21_QM__262CA" "CA"
"47" "264CA" 26.359 6.325 2.019 0.179 0.232 0.069 13.132 3.233 37.689 2.178 1.797 0.106 0.15 0.014 21.038 1.831 2021 "21_QM__264CA" "CA"
"48" "263CA" 24.236 3.713 1.876 0.23 0.291 0.041 12.957 1.546 35.523 1.665 1.827 0.013 0.149 0.01 19.447 1.036 2021 "21_QM__263CA" "CA"
"49" "279QI" 60.295 3.708 2.019 0.029 0.115 0.017 29.885 2.087 36.423 7.346 2.104 0.075 0.129 0.031 17.378 3.847 2021 "21_QM__279QI" "QI"
"50" "284QI" 61.846 5.531 2.021 0.026 0.117 0.018 30.593 2.631 45.916 11.586 2.144 0.106 0.126 0.018 21.44 5.401 2021 "21_QM__284QI" "QI"
"51" "278QI" 56.902 2.335 2.052 0.032 0.132 0.024 27.743 1.243 42.434 5.436 2.248 0.064 0.14 0.02 18.937 2.874 2021 "21_QM__278QI" "QI"
"52" "294QI" 59.043 4.417 1.908 0.144 0.117 0.024 31.095 3.507 54.722 5.803 2.06 0.03 0.126 0.021 26.578 2.984 2021 "21_QM__294QI" "QI"
"53" "281CA" 22.92 10.944 1.802 0.262 0.362 0.156 13.432 7.62 33.529 4.742 1.767 0.115 0.163 0.031 19.078 3.161 2021 "21_QM__281CA" "CA"
"54" "308QI" 53.483 2.417 2.051 0.025 0.155 0.021 26.085 1.467 49.572 3.133 2.07 0.036 0.132 0.01 23.973 1.812 2021 "21_QM__308QI" "QI"
"55" "311QI" 56.535 2.884 2.063 0.037 0.135 0.013 27.412 1.424 43.972 6.492 2.076 0.049 0.142 0.023 21.204 3.211 2021 "21_QM__311QI" "QI"
"56" "325QI" 54.456 3.45 2.031 0.064 0.139 0.021 26.792 1.009 45.314 1.971 2.058 0.021 0.138 0.012 22.02 1.099 2021 "21_QM__325QI" "QI"
"57" "340CA" 25.164 5.867 1.952 0.204 0.308 0.076 13.001 3.479 37.563 3 1.753 0.148 0.164 0.018 21.45 1.017 2021 "21_QM__340CA" "CA"
"58" "339CA" 23.572 2.612 2.035 0.216 0.302 0.045 11.722 2.001 36.464 1.072 1.822 0.029 0.172 0.014 20.022 0.807 2021 "21_QM__339CA" "CA"
"59" "341CA" 26.074 11.202 2.036 0.137 0.36 0.154 12.722 5.339 37.992 0.897 1.882 0.095 0.162 0.011 20.22 0.794 2021 "21_QM__341CA" "CA"
"60" "382CA" 30.498 4.347 1.79 0.203 0.262 0.078 17.427 4.448 38.582 1.45 1.807 0.052 0.144 0.01 21.354 0.727 2021 "21_QM__382CA" "CA"
"61" "335QI" 55.188 3.858 1.948 0.157 0.144 0.028 28.466 2.837 53.201 3.081 2.06 0.041 0.125 0.018 25.843 1.672 2021 "21_QM__335QI" "QI"
"62" "332QI" 53.952 4.423 2.004 0.05 0.146 0.012 26.932 2.207 45.875 0.931 2.084 0.026 0.158 0.011 22.018 0.708 2021 "21_QM__332QI" "QI"
"63" "363CA" 31.627 2.123 2.13 0.098 0.345 0.032 14.84 0.374 42.618 5.015 1.881 0.042 0.152 0.013 22.681 2.797 2021 "21_QM__363CA" "CA"
