	Acmaeodera_degener	Acmaeodera_sp	Ammophila_sp	Andrena_msp(13)	Andrena_msp1	Andrena_msp11	Andrena_msp17	Andrena_msp14	Andrena_msp3	Andrena_msp4	Andrena_msp5	Andrena_msp7	Andrena_sp	Apis_mellifera	Argynnis_pandora	Aricia_cramera	Asilidae	Bombus_terrestris	Bombylius_cruciatus	Brachonidae_msp3	Bruchinae	Calliphora_sp	Camponotus_cruentatus	Camponotus_pilicornis	Ceratina_sp	Chalcididae	Chelostoma_msp1	Chelostoma_msp2	Chrysanthia_sp	Chrysididae	Chrysotoxum_sp	Conopidae_msp1	Crematogaster_auberti	Diptera_ms	Dufourea_sp	Empididae	Enicopus_sp	Eristalis_tenax	Eucera_sp	Eumenes_sp	Flavipanurgus_flavus	Halictus_msp1	Heliotaurus_ruficollis	Iberoformica_subrufa	Lasioglossum_msp1	Lasioglossum_msp1.2	Lasioglossum_msp1.3	Lasioglossum_msp2.1	Lasioglossum_msp3	Lomatia_sp	Lucilia_sp	Meliguethes_sp	Muscidae	Mylabris_sp	Nomada_sp	Oxythera_trilineata	Panurgus_sp	Plagiolepis_schmitzii	Platycheirus_sp	Reduviidae	Scarabeidae_msp1	Sphaerophoria_scripta	Sphecodes_sp	Stenurella_approximans	Stictoleptura_cordigera	Tachinidae_msp1	Tachinidae_msp2	Tachinidae_msp4	Tettigoniidae	Thysanoptera	Trichodes_leucopsideus	Usia_sp
Cla	0	0	0	0	0.761662426	0	0	0	2.284987277	0.761662426	0.761662426	0	0	1.523324852	0	0	0	6.854961832	0	0.761662426	2.284987277	0	23.6115352	3.808312129	0	2.284987277	0	0	2.284987277	0	0.761662426	6.093299406	4.569974555	12.94826124	0	0	29.70483461	21.32654792	0	0	3.046649703	1.523324852	94.4461408	8.378286684	40.36810857	7.616624258	0.761662426	0.761662426	0	0	1.523324852	1.523324852	0	0	0	11.42493639	0	19.04156064	3.046649703	1.523324852	1.523324852	0	0	0.761662426	0.761662426	0.761662426	0	0	0.761662426	12.18659881	0	10.66327396
Cpop	0.26746988	0.26746988	0	0	0	0	0	0	0	0	0	0	0	0.26746988	0	0	0	0	0	0	0	0.26746988	0.26746988	0	0	0.802409639	0	0	0	0.26746988	0	0	0	0.26746988	0	0.534939759	0.802409639	2.139759036	0	0	0	0	5.884337349	3.477108434	6.419277108	0	0	0.26746988	0	0	0.534939759	0	0.26746988	0	0.802409639	0.534939759	0	1.337349398	0	0	0.534939759	0.26746988	0	0	0	0	0	0	0.802409639	4.546987952	0	1.337349398
Tmas	0	0	0.666666667	0	0	0	0.333333333	0.333333333	0.333333333	1.333333333	0	0.333333333	0.666666667	6.666666667	0	0.333333333	0.333333333	0	0.666666667	0	0	0	0	0	0.333333333	0	0	0	0	0	1.666666667	0	0	0.333333333	0	0	0	3	0.666666667	0.333333333	0	0	0.333333333	0	5	0	0.333333333	0.333333333	0.333333333	1.333333333	1.666666667	0	0	0	2.666666667	0	0	1	0	0	0.333333333	0	0.333333333	0	0	2.666666667	2.333333333	0.333333333	0	0	0	0
Tgut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333
Cre	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	16	0	0	0	4	1	0	0	0	0	0	0	2	0	0	3
Tol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Clu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80
Jmo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0.333333333	0
Chy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.746478873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
