	Adelidae	Anaspidinae	Andrena_msp1	Andrena_msp2	Andrena_msp6	Andrena_msp5	Anthaxia	Anthophora_sp	Ammophila_sp	Apis_melifera	Bibionidae	Bombus_pratorum	Bombus_terrestris	Bombylius_major	Brachonidae_msp1	Brachonidae_msp5	Brachymeria_sp	Bruchinae	Camponotus_cruentatus	Camponotus_pilicornis	Cataglyphis_hispanica	Ceratina_msp1	Ceratina_msp3	Chalcididae	Chelostoma_msp1	Chelostoma_msp2	Chrysantia_sp	Dasypoda_sp	Diptera_s	Diptera_ms	Empididae	Enicopus_sp	Eristalis_nemorum	Eristalis_tenax	Eucera_msp1	Euodynerus	Falsomelyris_sp	Flavipanurgus_flavus	Heliotaurus_ruficollis	Heterocera	Iberoformica_subrufa	Lachnaia_sp	Lasioglossum_msp1	Lasioglossum_msp1.2	Lasioglossum_msp2	Lasioglossum_msp3	Lasius_grandis	Lucilia_sp	Malachinae	Meliguethes_sp	Mylabris_sp	Nomada_sp	Oxycera_trilineata	Osmia_msp4	Osmia_msp5	Panurgus_sp	Paragus_sp	Plagiolepis_schmitzii	Pheidole_pallidula	Polistes_sp	Protosmia_msp1	Scarabeidae_msp1	Sphaerophoria_scripta	Stenurella_approximans	Stictoleptura_cordigera	Tachinidae_msp1	Tachinidae_msp2	Tettigoniidae	Tephritidae	Thysanoptera	Usia_sp	Villa_sp	Xylocopa_cantabrita
Cla	0	4.307692308	1.230769231	0.615384615	0	4.307692308	0.615384615	0	0	3.076923077	1.230769231	0	5.538461538	0.615384615	0.615384615	0.615384615	0	0.615384615	36.30769231	3.692307692	0	0	0	0.615384615	0	0	1.230769231	0.615384615	4.923076923	23.38461538	0.615384615	17.84615385	0.615384615	4.923076923	1.230769231	0	3.076923077	1.230769231	66.46153846	0.615384615	24.61538462	0.615384615	17.23076923	0.615384615	2.461538462	0.615384615	9.230769231	1.846153846	0.615384615	1.846153846	0	0	0	0	0	0	0	19.69230769	0	0	0	3.692307692	1.230769231	1.846153846	1.230769231	0	0	10.46153846	0.615384615	1.846153846	19.69230769	0	0
Cpop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmas	0.333333333	0	0	0	0	0	0	0	2	0.333333333	0	0	0	0	0	0	0.333333333	0	0	0	0	0.333333333	0.333333333	0	0.333333333	0	0	0	0	0	0.333333333	0	0	0	0	0.333333333	0	0	0.333333333	0	0	0	1.333333333	0	0	0	0	0	0	0	0	0.666666667	0	0	0.333333333	0	0	0	0	0	4.666666667	0	0	0	0	8	0.333333333	0	0	0	0.333333333	0	0
Trifol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.683615819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	1.333333333	0	0
Cre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	1.333333333	0.333333333	0	0	0	0	0.666666667	0	0	0	0	0	0.333333333	0	0	4.333333333	0	0
Orob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tolp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.666666667	0	0
Campa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0
Roff	0	0	0	0	0.333333333	0	0	0	0	0.666666667	0	0	0.666666667	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0.333333333	0	0	0	0	0	0	0	0	0.333333333	0	0.666666667	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0
Jasmo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asphaes	0	0	0	0	0	0	0	0.333333333	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333
