Group,Taxa,Abundance
Control A,Acidobacteria,13.01 
Control A,Actinobacteria,17.03 
Control A,Armatimonadetes,1.53 
Control A,Bacteroidetes,7.32 
Control A,Chlamydiae,0.54 
Control A,Chlorobi,0.51 
Control A,Chloroflexi,1.52 
Control A,Deinococcus-Thermus,0.54 
Control A,Gemmatimonadetes,2.49 
Control A,Nitrospira,0.60 
Control A,Planctomycetes,5.54 
Control A,Proteobacteria,19.37 
Control A,Verrucomicrobia,6.33 
Control A,Cyanobacteria,1.38 
Control A,Firmicutes,1.56 
Control A,Parcubacteria,0.67 
Control A,Saccharibacteria,1.41 
Control A,Others,18.65 
Treatment A,Acidobacteria,13.58 
Treatment A,Actinobacteria,17.43 
Treatment A,Armatimonadetes,1.54 
Treatment A,Bacteroidetes,7.50 
Treatment A,Chlamydiae,0.56 
Treatment A,Chloroflexi,1.50 
Treatment A,Deinococcus-Thermus,0.54 
Treatment A,Gemmatimonadetes,2.42 
Treatment A,Nitrospira,0.59 
Treatment A,Planctomycetes,5.17 
Treatment A,Proteobacteria,19.32 
Treatment A,Verrucomicrobia,6.62 
Treatment A,Cyanobacteria,1.38 
Treatment A,Firmicutes,2.24 
Treatment A,Parcubacteria,0.59 
Treatment A,Saccharibacteria,1.27 
Treatment A,Others,17.75 
Control B,Acidobacteria,13.12 
Control B,Actinobacteria,18.32 
Control B,Armatimonadetes,1.42 
Control B,Bacteroidetes,7.15 
Control B,Chlamydiae,0.55 
Control B,Chloroflexi,1.50 
Control B,Deinococcus-Thermus,0.55 
Control B,Gemmatimonadetes,2.23 
Control B,Nitrospira,0.58 
Control B,Planctomycetes,5.41 
Control B,Proteobacteria,17.53 
Control B,Verrucomicrobia,6.34 
Control B,Cyanobacteria,1.22 
Control B,Firmicutes,1.87 
Control B,Parcubacteria,0.64 
Control B,Saccharibacteria,1.77 
Control B,Others,19.80 
Treatment B,Acidobacteria,13.60 
Treatment B,Actinobacteria,16.75 
Treatment B,Armatimonadetes,1.58 
Treatment B,Bacteroidetes,7.22 
Treatment B,Chlamydiae,0.55 
Treatment B,Chloroflexi,1.69 
Treatment B,Deinococcus-Thermus,0.53 
Treatment B,Gemmatimonadetes,2.31 
Treatment B,Nitrospira,0.61 
Treatment B,Planctomycetes,5.18 
Treatment B,Proteobacteria,18.49 
Treatment B,Verrucomicrobia,6.32 
Treatment B,Cyanobacteria,1.54 
Treatment B,Firmicutes,1.81 
Treatment B,Parcubacteria,0.63 
Treatment B,Saccharibacteria,1.48 
Treatment B,Others,19.71 
