Group,Index
M-Control A,14.01 
M-Control A,10.01 
M-Control A,21.29 
M-Control A,12.14 
M-Control A,11.24 
M-Control A,6.67 
M-Treatment A,10.31 
M-Treatment A,7.43 
M-Treatment A,7.92 
M-Treatment A,3.57 
M-Treatment A,2.38 
M-Control B,25.78 
M-Control B,12.45 
M-Control B,11.12 
M-Control B,11.28 
M-Control B,11.54 
M-Control B,12.04 
M-Treatment B,7.91 
M-Treatment B,20.95 
M-Treatment B,16.74 
M-Treatment B,9.60 
M-Treatment B,10.99 
M-Treatment B,11.39 
Q-Control,5.47 
Q-Control,12.41 
Q-Control,14.12 
Q-Control,32.22 
Q-Control,27.39 
Q-Control,28.67 
Q-Control,25.78 
Q-Control,39.21 
Q-Control,14.35 
Q-Control,31.46 
Q-Control,35.61 
Q-Control,29.43 
Q-Treatment A,14.66 
Q-Treatment A,9.78 
Q-Treatment A,61.96 
Q-Treatment A,12.28 
Q-Treatment A,14.57 
Q-Treatment A,15.26 
Q-Treatment A,32.28 
Q-Treatment A,25.18 
Q-Treatment A,32.54 
Q-Treatment A,8.28 
Q-Treatment A,44.87 
Q-Treatment B,6.92 
Q-Treatment B,4.55 
Q-Treatment B,7.19 
Q-Treatment B,51.52 
Q-Treatment B,63.13 
Q-Treatment B,64.64 
Q-Treatment B,11.66 
Q-Treatment B,10.46 
Q-Treatment B,15.18 
Q-Treatment B,57.95 
Q-Treatment B,36.36 
Q-Treatment B,31.72 
Q-Forest,44.86 
Q-Forest,9.78 
Q-Forest,61.95 
Q-Forest,51.52 
Q-Forest,63.13 
Q-Forest,64.64 
Q-Forest,32.22 
Q-Forest,27.39 
Q-Forest,28.67 
Q-Forest,32.28 
Q-Forest,25.18 
Q-Forest,32.54 
Q-Forest,57.95 
Q-Forest,36.36 
Q-Forest,31.72 
Q-Forest,32.46 
Q-Forest,35.61 
Q-Forest,31.08 
Q-Shrub,14.66 
Q-Shrub,6.92 
Q-Shrub,4.55 
Q-Shrub,7.19 
Q-Shrub,5.74 
Q-Shrub,12.41 
Q-Shrub,14.12 
Q-Shrub,12.28 
Q-Shrub,14.57 
Q-Shrub,15.26 
Q-Shrub,11.66 
Q-Shrub,10.46 
Q-Shrub,15.18 
Q-Shrub,25.78 
Q-Shrub,39.21 
Q-Shrub,14.35 
Q-Shrub,8.28 
