Group,Index
M-Control A,2.32 
M-Control A,2.28 
M-Control A,2.00 
M-Control A,2.24 
M-Control A,2.27 
M-Control A,2.27 
M-Treatment A,2.35 
M-Treatment A,2.28 
M-Treatment A,2.35 
M-Treatment A,2.31 
M-Treatment A,2.31 
M-Control B,2.23 
M-Control B,2.11 
M-Control B,2.32 
M-Control B,2.35 
M-Control B,2.30 
M-Control B,2.36 
M-Treatment B,2.32 
M-Treatment B,2.36 
M-Treatment B,2.28 
M-Treatment B,2.31 
M-Treatment B,2.28 
M-Treatment B,2.35 
Q-Control,2.74 
Q-Control,3.46 
Q-Control,3.58 
Q-Control,3.00 
Q-Control,2.74 
Q-Control,2.99 
Q-Control,3.39 
Q-Control,3.23 
Q-Control,2.89 
Q-Control,2.54 
Q-Control,2.72 
Q-Control,2.43 
Q-Treatment A,3.83 
Q-Treatment A,3.37 
Q-Treatment A,3.09 
Q-Treatment A,2.97 
Q-Treatment A,2.95 
Q-Treatment A,3.40 
Q-Treatment A,3.18 
Q-Treatment A,2.39 
Q-Treatment A,2.36 
Q-Treatment A,3.94 
Q-Treatment A,3.40 
Q-Treatment B,3.03 
Q-Treatment B,3.62 
Q-Treatment B,3.61 
Q-Treatment B,3.20 
Q-Treatment B,3.74 
Q-Treatment B,2.72 
Q-Treatment B,3.20 
Q-Treatment B,2.99 
Q-Treatment B,3.11 
Q-Treatment B,3.16 
Q-Treatment B,2.63 
Q-Treatment B,2.18 
Q-Forest,3.37 
Q-Forest,3.09 
Q-Forest,2.97 
Q-Forest,3.20 
Q-Forest,3.73 
Q-Forest,2.72 
Q-Forest,3.00 
Q-Forest,2.74 
Q-Forest,2.99 
Q-Forest,2.39 
Q-Forest,2.36 
Q-Forest,3.94 
Q-Forest,3.16 
Q-Forest,2.63 
Q-Forest,2.18 
Q-Forest,2.53 
Q-Forest,2.72 
Q-Forest,2.43 
Q-Shrub,3.38 
Q-Shrub,3.03 
Q-Shrub,3.62 
Q-Shrub,3.62 
Q-Shrub,2.74 
Q-Shrub,3.46 
Q-Shrub,3.58 
Q-Shrub,2.95 
Q-Shrub,3.40 
Q-Shrub,3.18 
Q-Shrub,3.21 
Q-Shrub,3.00 
Q-Shrub,3.11 
Q-Shrub,3.40 
Q-Shrub,3.23 
Q-Shrub,2.89 
Q-Shrub,3.40 
