Group,STN,
M-Control A,3.40 ,
M-Control A,3.80 ,
M-Control A,4.60 ,
M-Control A,4.60 ,
M-Control A,3.50 ,
M-Control A,2.90 ,
M-Control A,3.40 ,
M-Control A,4.60 ,
M-Control A,4.30 ,
M-Treatment A,5.70 ,
M-Treatment A,8.40 ,
M-Treatment A,5.50 ,
M-Treatment A,5.30 ,
M-Treatment A,5.40 ,
M-Treatment A,5.30 ,
M-Treatment A,7.80 ,
M-Treatment A,8.30 ,
M-Treatment A,4.10 ,
M-Control B,4.80 ,
M-Control B,4.50 ,
M-Control B,4.20 ,
M-Control B,5.20 ,
M-Control B,10.00 ,
M-Control B,6.30 ,
M-Control B,3.20 ,
M-Control B,6.90 ,
M-Control B,5.70 ,
M-Treatment B,2.20 ,
M-Treatment B,4.40 ,
M-Treatment B,8.20 ,
M-Treatment B,2.50 ,
M-Treatment B,5.00 ,
M-Treatment B,6.00 ,
M-Treatment B,2.50 ,
M-Treatment B,2.90 ,
M-Treatment B,5.10 ,
Q-Control,5.40 ,
Q-Control,4.10 ,
Q-Control,2.50 ,
Q-Control,1.00 ,
Q-Control,4.70 ,
Q-Control,5.00 ,
Q-Control,1.90 ,
Q-Control,3.80 ,
Q-Control,2.50 ,
Q-Control,3.50 ,
Q-Control,5.90 ,
Q-Control,5.90 ,
Q-Control,3.30 ,
Q-Control,7.90 ,
Q-Control,7.00 ,
Q-Control,7.60 ,
Q-Control,12.00 ,
Q-Control,7.50 ,
Q-Control,1.05 ,
Q-Control,0.64 ,
Q-Control,0.67 ,
Q-Control,0.68 ,
Q-Control,0.82 ,
Q-Control,0.91 ,
Q-Treatment A,13.00 ,
Q-Treatment A,18.00 ,
Q-Treatment A,6.00 ,
Q-Treatment A,0.74 ,
Q-Treatment A,1.90 ,
Q-Treatment A,0.73 ,
Q-Treatment A,15.00 ,
Q-Treatment A,6.10 ,
Q-Treatment A,18.00 ,
Q-Treatment A,0.63 ,
Q-Treatment A,0.97 ,
Q-Treatment A,1.04 ,
Q-Treatment A,0.64 ,
Q-Treatment A,0.92 ,
Q-Treatment A,0.76 ,
Q-Treatment B,1.10 ,
Q-Treatment B,15.00 ,
Q-Treatment B,22.00 ,
Q-Treatment B,1.30 ,
Q-Treatment B,1.10 ,
Q-Treatment B,1.10 ,
Q-Treatment B,24.00 ,
Q-Treatment B,21.00 ,
Q-Treatment B,16.00 ,
Q-Treatment B,5.50 ,
Q-Treatment B,5.00 ,
Q-Treatment B,1.60 ,
Q-Treatment B,0.93 ,
Q-Treatment B,1.20 ,
Q-Treatment B,1.20 ,
